hour,lambda_per_hour,factor,cbd_factor,non_cbd_factor
0,3.4589056518802073,0.8792372006715086,0.956019776863141,0.7964992851262943
1,2.41699604743083,0.6143887843896538,0.5541663430923351,0.417096312984706
2,2.082276422764228,0.5293046637396137,0.4104475680153245,0.317013994194359
3,1.9323467230443974,0.4911932543094298,0.3444901762832958,0.28036046965036177
4,1.9371745921555015,0.4924204754451518,0.32823380186896534,0.3133746371474373
5,1.775099075297226,0.45122165764496236,0.3007946985581528,0.32104328235345087
6,2.169664429530201,0.551518275261342,0.43302011338044577,0.5069104458212382
7,2.611262040009879,0.6637702664801027,0.5075716393569931,0.7370997790390365
8,4.239027683997299,1.0775404736526462,0.9541559887137273,1.2502491226549977
9,4.8117436127297175,1.223122111499562,1.1928244156247574,1.2932715220311077
10,4.83457985041795,1.2289269734182318,1.2759700758458232,1.2549282960010397
11,5.0254584681769146,1.2774474011018289,1.3391317853537315,1.3465621073610328
12,5.152090443686006,1.3096366409562303,1.3964950428412415,1.3863350808023915
13,5.273075287111867,1.340390406963005,1.4468173228754109,1.406481521597851
14,5.764966273187184,1.4654267326567445,1.598301881908312,1.5484164464277976
15,5.199580272822665,1.3217083273891304,1.3362325593435325,1.5429574108574151
16,5.9684276994316985,1.5171456498115437,1.5714840413139706,1.712967375763615
17,5.703820983744986,1.4498838938128507,1.5163987471201885,1.6083358606646159
18,5.278639744952178,1.3418048654152355,1.4368771194118712,1.4244183527576795
19,4.603429796355841,1.1701697400839945,1.262612927441692,1.206316884017157
20,4.040122780092085,1.0269798025876835,1.114234681991147,0.9964039686322083
21,3.598196166854566,0.9146441804483566,0.9630607543164816,0.8652571379056366
22,3.438700823421775,0.8741012303381798,0.9361393699360617,0.7789523850786361
23,3.1000467508181395,0.7880169919230122,0.8245191685433978,0.6887483211299337
