precinct,crashes,lambda_per_hour,lambda_per_day,pct_of_total
19,41097,0.3436440579939589,8.247457391855015,9.868790732745165
18,35577,0.2974870343638484,7.139688824732361,8.54325055110774
14,31551,0.26382250952058295,6.331740228493991,7.576470701239573
1,27999,0.234121468228164,5.618915237475935,6.723514410446793
17,27628,0.23101924798056053,5.544461951533453,6.63442466273167
13,25101,0.20988903082235594,5.037336739736542,6.027605815087145
10,23796,0.1989769083880635,4.775445801313524,5.714230826493514
5,21066,0.17614924996230233,4.227581999095256,5.0586647584010915
25,20129,0.1683142624366839,4.039542298480414,4.833659115249955
34,17739,0.14832960908958895,3.559910618150135,4.25973863805549
20,15751,0.13170639115903465,3.1609533878168317,3.7823520653933156
23,15481,0.12944871065538793,3.1067690557293104,3.7175158608567025
33,14515,0.12137123152011858,2.912909556482846,3.4855463290701527
32,14107,0.11795962542571911,2.8310310102172584,3.3875716199926043
6,13621,0.11389580051915503,2.7334992124597206,3.2708664518267003
9,13262,0.11089392162726922,2.6614541190544614,3.184658313202092
7,11798,0.09865227622971816,2.3676546295132357,2.8331020041591226
24,11580,0.09682940826751452,2.3239057984203484,2.780752772348079
28,9887,0.08267291533168532,1.9841499679604477,2.3742057564944266
30,9752,0.08154407507986197,1.9570578019166873,2.34178765422612
26,9659,0.08076642957305032,1.9383943097532077,2.3194551837746196
22,4209,0.035194730517959294,0.844673532431023,1.0107243884985377
50,765,0.006396761426999016,0.15352227424797638,0.1837025795204042
52,284,0.002374745418650615,0.056993890047614765,0.06819808180888208
114,80,0.0006689423714508775,0.01605461691482106,0.019210727270107628
