policy,capacity,firehouses_used,max_units_per_fh,response_time_mean,response_time_p90,coverage_fraction,proxy_weighted_rt_min
P0,1,20,1,3.11136738950995,4.053856136028493,0.9966117782419716,1.302
P0,2,20,1,3.11136738950995,4.053856136028493,0.9966117782419716,1.302
P0,3,20,1,3.11136738950995,4.053856136028493,0.9966117782419716,1.302
P0,4,20,1,3.11136738950995,4.053856136028493,0.9966117782419716,1.302
P0,5,20,1,3.11136738950995,4.053856136028493,0.9966117782419716,1.302
P1_demand,1,20,1,2.5889336679942674,3.8494880520899146,0.9970851670962259,0.764
P1_demand,2,18,2,2.616727061195069,3.9897962084074985,0.996490585951834,0.824
P1_demand,3,18,2,2.616727061195069,3.9897962084074985,0.9964905859518339,0.824
P1_demand,4,18,2,2.616727061195069,3.9897962084074985,0.9964905859518339,0.824
P1_demand,5,18,2,2.616727061195069,3.9897962084074985,0.996490585951834,0.824
P2_optimised,1,20,1,2.5622829964945195,3.7425814150838876,0.9964901671293682,0.731
P2_optimised,2,20,1,2.5622829964945195,3.742581415083888,0.9964901671293682,0.731
P2_optimised,3,20,1,2.5622829964945195,3.7425814150838876,0.9964901671293682,0.731
P2_optimised,4,20,1,2.5622829964945195,3.7425814150838876,0.9964901671293682,0.731
P2_optimised,5,20,1,2.5622829964945195,3.742581415083888,0.9964901671293682,0.731
