scenario_type,policy,mean_response_time,coverage_6min,coverage_8min,cbd_mean_rt,cbd_coverage_6min,cbd_coverage_8min,non_cbd_mean_rt,non_cbd_coverage_6min,non_cbd_coverage_8min,queue_fraction,total_incidents
baseline,P0,3.1651,0.9396,0.9967,2.7495,0.9982,1.0,3.6851,0.8664,0.9925,0.0,570.5667
baseline,P1,2.6186,0.9801,0.9964,2.4365,0.9964,0.9995,2.8445,0.9597,0.9926,0.0,572.7667
baseline,P2,2.5666,0.9817,0.997,2.4792,0.995,0.9995,2.6747,0.965,0.9939,0.0,571.3667
cbd_only,CBD_ONLY,8.3215,0.5685,0.6317,2.9704,0.9887,0.9984,15.0577,0.0396,0.1702,0.0,578.0333
cbd_slow_service,P0,3.202,0.9353,0.9957,2.7742,0.9975,1.0,3.7373,0.8574,0.9903,0.0,570.5
cbd_slow_service,P1,2.6686,0.9756,0.9954,2.4733,0.9946,0.9993,2.9109,0.9518,0.9905,0.0,572.7
cbd_slow_service,P2,2.624,0.9769,0.9961,2.5271,0.9923,0.999,2.7437,0.9578,0.9924,0.0,571.2333
cbd_surge,P0,3.2828,0.9272,0.9924,2.8297,0.9954,0.9993,3.853,0.8413,0.9838,0.0,906.5333
cbd_surge,P1,2.7761,0.965,0.992,2.5446,0.9912,0.9985,3.0646,0.9325,0.9839,0.0,908.5667
cbd_surge,P2,2.7265,0.9685,0.9938,2.6123,0.988,0.9983,2.8686,0.944,0.9883,0.0,906.8333
mixed,MIXED,8.3215,0.5685,0.6317,2.9704,0.9887,0.9984,15.0577,0.0396,0.1702,0.0,578.0333
