Experiment,Metric,Policy_A,Policy_B,Mean_A,Mean_B,Mean_Diff,CI_95_lo,CI_95_hi,t_stat,p_raw,p_bonferroni,p_tukey,Cohens_d,Effect_Size,Significance
exp1_policy_comparison,Mean RT (min),P0,P1,3.1651,2.6186,0.5465,0.5154,0.5775,35.99,0.0,0.0,0.0,9.2925,Large,***
exp1_policy_comparison,Mean RT (min),P0,P2,3.1651,2.5666,0.5984,0.5671,0.6297,39.14,0.0,0.0,0.0,10.1059,Large,***
exp1_policy_comparison,Mean RT (min),P1,P2,2.6186,2.5666,0.0519,0.0243,0.0796,3.842,0.000305,0.001829,0.0019,0.992,Large,**
exp1_policy_comparison,"P90 Response Time (90th percentile, min)",P0,P1,5.3338,3.9882,1.3457,1.2011,1.4902,19.041,0.0,0.0,0.0,4.9163,Large,***
exp1_policy_comparison,"P90 Response Time (90th percentile, min)",P0,P2,5.3338,3.7517,1.5821,1.4451,1.719,23.628,0.0,0.0,0.0,6.1008,Large,***
exp1_policy_comparison,"P90 Response Time (90th percentile, min)",P1,P2,3.9882,3.7517,0.2364,0.1569,0.3159,6.084,0.0,1e-06,0.0005,1.571,Large,***
exp1_policy_comparison,6-min Coverage (NYC),P0,P1,0.9396,0.9801,-0.0404,-0.045,-0.0359,-18.085,0.0,0.0,0.0,-4.6697,Large,***
exp1_policy_comparison,6-min Coverage (NYC),P0,P2,0.9396,0.9817,-0.042,-0.0466,-0.0375,-18.813,0.0,0.0,0.0,-4.8576,Large,***
exp1_policy_comparison,6-min Coverage (NYC),P1,P2,0.9801,0.9817,-0.0016,-0.0045,0.0013,-1.135,0.26117,1.0,0.7062,-0.293,Small,ns
exp1_policy_comparison,8-min Coverage (NFPA),P0,P1,0.9967,0.9964,0.0002,-0.001,0.0015,0.376,0.707992,1.0,0.9209,0.0972,Negligible,ns
exp1_policy_comparison,8-min Coverage (NFPA),P0,P2,0.9967,0.997,-0.0003,-0.0015,0.0008,-0.612,0.543165,1.0,0.8391,-0.1579,Negligible,ns
exp1_policy_comparison,8-min Coverage (NFPA),P1,P2,0.9964,0.997,-0.0006,-0.0019,0.0007,-0.911,0.366124,1.0,0.6093,-0.2352,Small,ns
exp1_policy_comparison,Mean Utilization,P0,P1,0.0757,0.0745,0.0012,-0.0004,0.0029,1.564,0.123151,0.738904,0.2713,0.4039,Small,ns
exp1_policy_comparison,Mean Utilization,P0,P2,0.0757,0.0741,0.0016,-0.0001,0.0032,1.957,0.055117,0.3307,0.121,0.5054,Medium,ns
exp1_policy_comparison,Mean Utilization,P1,P2,0.0745,0.0741,0.0003,-0.0013,0.002,0.439,0.662007,1.0,0.901,0.1135,Negligible,ns
exp2_fleet_sensitivity,Mean RT (min),P0,P0_legacy,2.9192,4.4943,-1.5751,-1.9463,-1.2039,-8.374,0.0,0.0,0.0,-0.8827,Large,***
exp2_fleet_sensitivity,Mean RT (min),P0,P1,2.9192,2.52,0.3991,0.3296,0.4687,11.327,0.0,0.0,0.0155,1.194,Large,***
exp2_fleet_sensitivity,Mean RT (min),P0,P2,2.9192,2.5561,0.3631,0.298,0.4281,11.013,0.0,0.0,0.0341,1.1609,Large,***
exp2_fleet_sensitivity,Mean RT (min),P0_legacy,P1,4.4943,2.52,1.9743,1.6069,2.3416,10.605,0.0,0.0,0.0,1.1179,Large,***
exp2_fleet_sensitivity,Mean RT (min),P0_legacy,P2,4.4943,2.5561,1.9382,1.5716,2.3047,10.435,0.0,0.0,0.0,1.0999,Large,***
exp2_fleet_sensitivity,Mean RT (min),P1,P2,2.52,2.5561,-0.0361,-0.0735,0.0013,-1.902,0.057917,0.347503,0.9931,-0.2005,Small,ns
exp2_fleet_sensitivity,"P90 Response Time (90th percentile, min)",P0,P0_legacy,4.2306,8.7967,-4.5661,-5.5891,-3.5431,-8.808,0.0,0.0,0.0,-0.9284,Large,***
