Experiment,Policy,Factor,Level,Metric,Mean,Std,CI_95_lo,CI_95_hi
exp2_fleet_sensitivity,P0,K,15.0,Mean RT (min),3.6978,0.0709,3.6724,3.7231
exp2_fleet_sensitivity,P0,K,15.0,"P90 Response Time (90th percentile, min)",5.6346,0.1754,5.5718,5.6974
exp2_fleet_sensitivity,P0,K,15.0,6-min Coverage (NYC),0.9235,0.0144,0.9184,0.9287
exp2_fleet_sensitivity,P0,K,15.0,8-min Coverage (NFPA),0.99,0.0056,0.9879,0.992
exp2_fleet_sensitivity,P0,K,15.0,Mean Utilization,,,,
exp2_fleet_sensitivity,P0,K,20.0,Mean RT (min),3.1735,0.0601,3.152,3.195
exp2_fleet_sensitivity,P0,K,20.0,"P90 Response Time (90th percentile, min)",5.3343,0.3261,5.2176,5.451
exp2_fleet_sensitivity,P0,K,20.0,6-min Coverage (NYC),0.9402,0.0102,0.9365,0.9439
exp2_fleet_sensitivity,P0,K,20.0,8-min Coverage (NFPA),0.9962,0.0023,0.9954,0.997
exp2_fleet_sensitivity,P0,K,20.0,Mean Utilization,,,,
exp2_fleet_sensitivity,P0,K,25.0,Mean RT (min),2.8164,0.0307,2.8054,2.8274
exp2_fleet_sensitivity,P0,K,25.0,"P90 Response Time (90th percentile, min)",3.8767,0.0639,3.8538,3.8995
exp2_fleet_sensitivity,P0,K,25.0,6-min Coverage (NYC),0.9897,0.0048,0.9879,0.9914
exp2_fleet_sensitivity,P0,K,25.0,8-min Coverage (NFPA),0.9972,0.0019,0.9965,0.9978
exp2_fleet_sensitivity,P0,K,25.0,Mean Utilization,,,,
exp2_fleet_sensitivity,P0,K,30.0,Mean RT (min),2.8217,0.04,2.8074,2.836
exp2_fleet_sensitivity,P0,K,30.0,"P90 Response Time (90th percentile, min)",3.9141,0.1177,3.8719,3.9562
exp2_fleet_sensitivity,P0,K,30.0,6-min Coverage (NYC),0.9932,0.0038,0.9918,0.9945
exp2_fleet_sensitivity,P0,K,30.0,8-min Coverage (NFPA),0.9973,0.0019,0.9967,0.998
exp2_fleet_sensitivity,P0,K,30.0,Mean Utilization,,,,
exp2_fleet_sensitivity,P0,K,35.0,Mean RT (min),2.5636,0.0284,2.5534,2.5737
exp2_fleet_sensitivity,P0,K,35.0,"P90 Response Time (90th percentile, min)",3.4259,0.0357,3.4131,3.4387
exp2_fleet_sensitivity,P0,K,35.0,6-min Coverage (NYC),0.9959,0.0023,0.9951,0.9967
exp2_fleet_sensitivity,P0,K,35.0,8-min Coverage (NFPA),0.9983,0.0014,0.9977,0.9988
exp2_fleet_sensitivity,P0,K,35.0,Mean Utilization,,,,
exp2_fleet_sensitivity,P0,K,40.0,Mean RT (min),2.4423,0.0288,2.432,2.4526
exp2_fleet_sensitivity,P0,K,40.0,"P90 Response Time (90th percentile, min)",3.198,0.0704,3.1728,3.2232
exp2_fleet_sensitivity,P0,K,40.0,6-min Coverage (NYC),0.9972,0.002,0.9965,0.9979
exp2_fleet_sensitivity,P0,K,40.0,8-min Coverage (NFPA),0.9985,0.0012,0.9981,0.9989
exp2_fleet_sensitivity,P0,K,40.0,Mean Utilization,,,,
exp2_fleet_sensitivity,P0_legacy,K,15.0,Mean RT (min),9.4762,0.319,9.3621,9.5904
exp2_fleet_sensitivity,P0_legacy,K,15.0,"P90 Response Time (90th percentile, min)",22.0166,1.0054,21.6568,22.3764
exp2_fleet_sensitivity,P0_legacy,K,15.0,6-min Coverage (NYC),0.4987,0.0214,0.491,0.5064
exp2_fleet_sensitivity,P0_legacy,K,15.0,8-min Coverage (NFPA),0.5767,0.0206,0.5693,0.5841
exp2_fleet_sensitivity,P0_legacy,K,15.0,Mean Utilization,0.1268,0.0058,0.1248,0.1289
exp2_fleet_sensitivity,P0_legacy,K,20.0,Mean RT (min),3.1651,0.065,3.1418,3.1883
exp2_fleet_sensitivity,P0_legacy,K,20.0,"P90 Response Time (90th percentile, min)",5.3338,0.3457,5.2101,5.4575
exp2_fleet_sensitivity,P0_legacy,K,20.0,6-min Coverage (NYC),0.9396,0.011,0.9357,0.9436
exp2_fleet_sensitivity,P0_legacy,K,20.0,8-min Coverage (NFPA),0.9967,0.0021,0.9959,0.9974
exp2_fleet_sensitivity,P0_legacy,K,20.0,Mean Utilization,0.0757,0.0032,0.0746,0.0768
exp2_fleet_sensitivity,P0_legacy,K,25.0,Mean RT (min),5.7949,0.1802,5.7304,5.8594
exp2_fleet_sensitivity,P0_legacy,K,25.0,"P90 Response Time (90th percentile, min)",13.5908,0.6981,13.341,13.8406
exp2_fleet_sensitivity,P0_legacy,K,25.0,6-min Coverage (NYC),0.6945,0.0178,0.6882,0.7009
exp2_fleet_sensitivity,P0_legacy,K,25.0,8-min Coverage (NFPA),0.7717,0.0137,0.7668,0.7766
