model,K,status,objective,active_firehouses,units_deployed,solve_time_sec,covered_precincts,total_precincts,pct_precincts,covered_demand_pct
spatially_stratified,20,Baseline,4.753,20,20,0.0,25,25,100.0,100.0
demand_proportional,20,Baseline,2.8696,18,20,0.0,25,25,100.0,100.0
demand_weighted,20,Optimal,2.5442,20,20,0.036,25,25,100.0,100.0
p_median,20,Optimal,2.5442,20,20,0.034,25,25,100.0,100.0
maximal_coverage,20,Optimal,3.4821,7,20,0.005,25,25,100.0,100.0
spatially_stratified,30,Baseline,3.7514,30,30,0.0,25,25,100.0,100.0
demand_proportional,30,Baseline,2.5199,21,30,0.0,25,25,100.0,100.0
demand_weighted,30,Optimal,2.4935,23,30,0.034,25,25,100.0,100.0
p_median,30,Optimal,2.4935,23,30,0.033,25,25,100.0,100.0
maximal_coverage,30,Optimal,3.4821,8,30,0.005,25,25,100.0,100.0
spatially_stratified,40,Baseline,2.6925,40,40,0.0,25,25,100.0,100.0
demand_proportional,40,Baseline,2.5199,21,40,0.0,25,25,100.0,100.0
demand_weighted,40,Optimal,2.4935,24,40,0.034,25,25,100.0,100.0
p_median,40,Optimal,2.4935,24,40,0.035,25,25,100.0,100.0
maximal_coverage,40,Optimal,3.4821,10,40,0.005,25,25,100.0,100.0
spatially_stratified,48,Baseline,2.4935,48,48,0.0,25,25,100.0,100.0
demand_proportional,48,Baseline,2.5199,21,48,0.0,25,25,100.0,100.0
demand_weighted,48,Optimal,2.4935,26,48,0.034,25,25,100.0,100.0
p_median,48,Optimal,2.4935,26,48,0.033,25,25,100.0,100.0
maximal_coverage,48,Optimal,3.4821,11,48,0.005,25,25,100.0,100.0
