K,comparison,mean_diff,t_stat,p_value,cohens_d,effect,significant
10,P0 vs P1,0.06735548755073495,1.7502138081495537,0.08539778851670062,0.4596286637798975,Small,ns
10,P0 vs P2,0.6375319972339688,19.228580979917265,5.594623176058562e-26,5.0496727548544875,Large,***
10,P1 vs P2,0.5701765096832339,16.41240591963568,2.2708077243524446e-22,4.3101089519063125,Large,***
15,P0 vs P1,0.7420041349706237,46.7706185391052,2.5926765678909196e-44,12.282566166025424,Large,***
15,P0 vs P2,0.8627355636366434,52.976776966414626,2.2268031360581862e-48,13.912383215730038,Large,***
15,P1 vs P2,0.12073142866601971,8.958548411102583,1.6282713610304974e-12,2.352630070926031,Large,***
20,P0 vs P1,0.5394546841214436,38.77267538654928,1.7571949720050212e-41,10.182203394871502,Large,***
20,P0 vs P2,0.6032846085759784,44.44708287418054,1.2906270180769208e-43,11.672375806458222,Large,***
20,P1 vs P2,0.06382992445453484,5.456563645343224,1.062964200495929e-06,1.4329638158841258,Large,***
25,P0 vs P1,0.3433305633017576,36.36090688860623,2.6803505214754017e-39,9.548841958174796,Large,***
25,P0 vs P2,0.31741445048361294,33.554734886104804,1.7607392555491341e-37,8.811905086896221,Large,***
25,P1 vs P2,-0.025916112818144654,-2.4063314627842822,0.01932026802595735,0.6319336013126446,Medium,*
30,P0 vs P1,0.4301288023959784,43.934652543869454,8.098640836986882e-46,11.537805008933665,Large,***
30,P0 vs P2,0.37207577494039423,36.72586739392234,8.103562556189569e-42,9.644685282350276,Large,***
30,P1 vs P2,-0.05805302745558416,-6.054040381545812,1.1292286897101341e-07,1.5898688937789889,Large,***
35,P0 vs P1,0.22221531618088397,30.548897268949855,1.9303469573727738e-37,8.022533456367851,Large,***
35,P0 vs P2,0.13225733564999187,15.823515157159921,3.9135849193928184e-22,4.1554586611768425,Large,***
35,P1 vs P2,-0.0899579805308921,-10.817925418520884,3.3147096928507073e-15,2.840926395296998,Large,***
40,P0 vs P1,0.11362393167958329,15.860453076165578,1.0808317876742255e-22,4.165159033940632,Large,***
40,P0 vs P2,0.01660379814462143,1.9830255365856984,0.05232149693299321,0.5207680189576106,Medium,ns
40,P1 vs P2,-0.09702013353496186,-11.925017136378468,1.0298832268860884e-16,3.131662923937841,Large,***
45,P0 vs P1,0.07026567191911726,10.497581285147541,5.124017190577887e-15,2.756799904415412,Large,***
45,P0 vs P2,-0.024767091741180636,-3.0737084178280076,0.0033142952569250044,0.8071953759917947,Large,**
45,P1 vs P2,-0.09503276366029789,-11.998112575382697,1.1191502935797792e-16,3.150858726645762,Large,***
48,P0 vs P1,0.0490038880113528,7.513358344565928,4.022030801282662e-10,1.9731045660435644,Large,***
48,P0 vs P2,-0.04220210621007814,-5.3228137108217295,2.1767477074888424e-06,1.3978393622896483,Large,***
48,P1 vs P2,-0.09120599422143094,-11.462443237497254,6.448284129543647e-16,3.0101850667456285,Large,***
