K,policy,mean,ci_lower,ci_upper,margin_of_error
10,P0,4.3977115384868535,4.352108631161113,4.443314445812594,0.04560290732574046
10,P1,4.369978723018122,4.316883574675698,4.423073871360547,0.05309514834242446
10,P2,3.743823410110888,3.7055623203821533,3.7820844998396224,0.03826108972873454
15,P0,3.6841413699990357,3.660691060158974,3.7075916798390973,0.02345030984006158
15,P1,2.943033648281608,2.9201292574893256,2.9659380390738908,0.02290439079228257
15,P2,2.824523913151475,2.8047023283329087,2.8443454979700413,0.01982158481856633
20,P0,3.1650640636617413,3.1407924831334695,3.189335644190013,0.02427158052827183
20,P1,2.6185749168880132,2.599200490001569,2.6379493437744577,0.019374426886444418
20,P2,2.566647249371996,2.546931829619354,2.586362669124638,0.019715419752642127
25,P0,2.807155824390306,2.7923441197866685,2.8219675289939437,0.014811704603637565
25,P1,2.467285838451739,2.453721646887056,2.480850030016422,0.013564191564682915
25,P2,2.4964390060649584,2.4770315793027433,2.5158464328271735,0.019407426762215074
30,P0,2.810621272875991,2.796504399242527,2.8247381465094548,0.014116873633463811
30,P1,2.389759689677369,2.377496377621778,2.4020230017329602,0.012263312055591058
30,P2,2.450925671952226,2.4338070341630367,2.4680443097414155,0.017118637789189428
35,P0,2.5628150530443663,2.552066717784665,2.5735633883040676,0.010748335259701314
35,P1,2.3425828339261754,2.3319195479750396,2.353246119877311,0.010663285951135748
35,P2,2.4348607235139696,2.418656107589263,2.451065339438676,0.016204615924706456
40,P0,2.445265235337381,2.43413078913287,2.4563996815418925,0.011134446204511317
40,P1,2.3283121665973923,2.3179050593552972,2.3387192738394873,0.010407107242095037
40,P2,2.429172591553963,2.413272758324634,2.4450724247832922,0.015899833229329197
45,P0,2.3957403099847654,2.3850260406501373,2.4064545793193934,0.010714269334628046
45,P1,2.3249959766933084,2.3146109438022973,2.3353810095843195,0.010385032891011114
45,P2,2.424081438985692,2.408715231094148,2.4394476468772357,0.015366207891543748
48,P0,2.3743796599192555,2.3640498473676694,2.3847094724708415,0.010329812551586048
48,P1,2.323825679703931,2.313829912314706,2.333821447093156,0.00999576738922503
48,P2,2.4199361091686757,2.404374727071024,2.4354974912663274,0.015561382097651677
