policy,K,scenario_id,replication,capacity,mean_response_time,median_response_time,p90_response_time,p95_response_time,coverage_6min,coverage_8min,coverage_10min,mean_utilization,max_utilization,mean_queue_length,max_queue_length,queue_fraction,total_incidents,incidents_queued,random_seed
P0,48,P0_K48,0,2,2.348972308475618,2.2303661427665133,3.0811815428153513,3.3689025598663984,0.9982698961937716,0.9982698961937716,1.0,0.03047106349014846,0.14354548539909273,0.0,0,0.0,578,0,42
P0,48,P0_K48,1,2,2.3331872460146514,2.230895105811612,3.014305038309488,3.258573510380387,0.9981308411214953,0.9981308411214953,1.0,0.028538553760751744,0.14101540081533623,0.0,0,0.0,535,0,43
P0,48,P0_K48,2,2,2.385046078272557,2.2397737416434893,3.1660984129268854,3.48980631855585,1.0,1.0,1.0,0.030769435955341835,0.11834592351248421,0.0,0,0.0,565,0,44
P0,48,P0_K48,3,2,2.3672545008381665,2.2498579819432507,3.05290242749237,3.4014499500661244,0.998330550918197,0.998330550918197,0.998330550918197,0.03208668918172914,0.10857298785932434,0.0,0,0.0,599,0,45
P0,48,P0_K48,4,2,2.4267712673786233,2.2498579819432507,3.2512929735706275,3.6421265309059407,0.9948006932409013,0.9965337954939342,0.9982668977469671,0.030575912909011533,0.12865043539114093,0.0,0,0.0,577,0,46
P0,48,P0_K48,5,2,2.3582554159484053,2.2397737416434893,3.1476566213825663,3.366205499140733,0.9981718464351006,0.9981718464351006,1.0,0.028775014805123785,0.1258596325886409,0.0,0,0.0,547,0,47
P0,48,P0_K48,6,2,2.354103487250055,2.2391563272751114,3.1660984129268854,3.3841859039792723,0.998165137614679,0.998165137614679,1.0,0.029391548257636624,0.11179452468499214,0.0,0,0.0,545,0,48
P0,48,P0_K48,7,2,2.4000352379609287,2.239156327275964,3.2549332419755186,3.499318095512365,0.9965156794425087,1.0,1.0,0.03174741519419718,0.12221302136005714,0.0,0,0.0,574,0,49
P0,48,P0_K48,8,2,2.374052969165592,2.239156327275964,3.1660984129268854,3.4926598516426846,0.9965217391304347,0.9965217391304347,0.9982608695652174,0.031311140448564485,0.1289949738443042,0.0,0,0.0,575,0,50
P0,48,P0_K48,9,2,2.374842753191569,2.239156327275964,3.0520910010453974,3.4183274470025258,0.9944852941176471,0.9963235294117647,0.9981617647058824,0.029461229311406417,0.11965842239141299,0.0,0,0.0,544,0,51
P0,48,P0_K48,10,2,2.332587549544729,2.235025716543362,3.0268954083885546,3.3778927622858386,0.9983552631578947,0.9983552631578947,1.0,0.03262030491996109,0.14948878245053288,0.0,0,0.0,608,0,52
P0,48,P0_K48,11,2,2.4425714802268113,2.2498579819432507,3.3662054991405412,3.6421265309060473,0.9948892674616695,0.9982964224872232,1.0,0.03197893516846494,0.12744065376900907,0.0,0,0.0,587,0,53
P0,48,P0_K48,12,2,2.355828786411335,2.239156327275964,3.166098412927738,3.6319353413100828,1.0,1.0,1.0,0.028863180994299093,0.1106124521506355,0.0,0,0.0,539,0,54
P0,48,P0_K48,13,2,2.3510727803119433,2.218497713954406,3.0990756203278003,3.499318095512365,0.9965156794425087,0.9965156794425087,0.9965156794425087,0.03057395997140161,0.12586124503327628,0.0,0,0.0,574,0,55
P0,48,P0_K48,14,2,2.334099425270774,2.2391563272753245,3.026895408387702,3.3841859039793576,0.9982425307557118,1.0,1.0,0.030918339330505265,0.11718417601508566,0.0,0,0.0,569,0,56
P0,48,P0_K48,15,2,2.3573186155279457,2.239773741643063,3.0356293589775314,3.366205499140733,1.0,1.0,1.0,0.02991207727271485,0.127535691651289,0.0,0,0.0,573,0,57
P0,48,P0_K48,16,2,2.3823818827233088,2.239156327275964,3.1660984129268854,3.4907574962515397,0.9946332737030411,0.9964221824686941,0.998211091234347,0.02995805285816631,0.12590254233270043,0.0,0,0.0,559,0,58
P0,48,P0_K48,17,2,2.380558893211175,2.2903316249343675,3.150811214606777,3.499318095512365,1.0,1.0,1.0,0.030670446159815873,0.12071080559743357,0.0,0,0.0,578,0,59
P0,48,P0_K48,18,2,2.3994746430824123,2.2397737416434893,3.1828054981694436,3.5391032692521813,0.9967479674796748,0.9983739837398374,0.9983739837398374,0.033487949593860415,0.13265531980666947,0.0,0,0.0,615,0,60
P0,48,P0_K48,19,2,2.350260647143067,2.2391563272751114,3.0529024274919436,3.366205499140733,0.9982817869415808,0.9982817869415808,0.9982817869415808,0.030470520513926107,0.12681903867243643,0.0,0,0.0,582,0,61
P0,48,P0_K48,20,2,2.356029057707709,2.230895105811612,3.1660984129268854,3.3931110233117825,0.9982876712328768,1.0,1.0,0.03093420492954581,0.14388456619984075,0.0,0,0.0,584,0,62
P0,48,P0_K48,21,2,2.357006069883629,2.2303661427665133,3.057829784933817,3.499318095512365,0.996415770609319,0.996415770609319,1.0,0.03010545765703934,0.12475213637247608,0.0,0,0.0,558,0,63
P0,48,P0_K48,22,2,2.3789777600129853,2.2882924122973236,3.1571204010556637,3.3889109671551543,0.9982517482517482,1.0,1.0,0.03141834623361898,0.11885092394736213,0.0,0,0.0,572,0,64
P0,48,P0_K48,23,2,2.38534915294666,2.239156327275964,3.1660984129268854,3.3841859039789526,0.993103448275862,0.996551724137931,0.9982758620689656,0.032189259321312245,0.14927881847064312,0.0,0,0.0,580,0,65
P0,48,P0_K48,24,2,2.377894111043178,2.239156327275964,3.158171932130358,3.499318095512365,0.9966273187183811,1.0,1.0,0.03193339453225299,0.14002680552833663,0.0,0,0.0,593,0,66
P0,48,P0_K48,25,2,2.3837520501580634,2.244815861793157,3.152914276756462,3.499318095512365,0.9983221476510067,0.9983221476510067,1.0,0.032261782336672096,0.1280646663927353,0.0,0,0.0,596,0,67
P0,48,P0_K48,26,2,2.4208964991611466,2.2498579819432507,3.2585735103799607,3.6421265309067508,0.9965457685664939,0.998272884283247,1.0,0.03126763192883502,0.11607913370832507,0.0,0,0.0,579,0,68
P0,48,P0_K48,27,2,2.3931341343302486,2.230895105812465,3.2464392823638093,3.4030300688286546,0.9945945945945946,1.0,1.0,0.028959176464902456,0.12443232618027376,0.0,0,0.0,555,0,69
P0,48,P0_K48,28,2,2.412094859107601,2.239773741643276,3.166098412926992,3.642126530906708,0.994661921708185,0.998220640569395,0.998220640569395,0.029935860762012014,0.11622207451495943,0.0,0,0.0,562,0,70
P0,48,P0_K48,29,2,2.3575801352767765,2.239156327275964,3.0356836699993437,3.366205499140733,0.9982238010657194,0.9982238010657194,0.9982238010657194,0.029489342565576004,0.11961925806987675,0.0,0,0.0,563,0,71
P1,48,P1_K48,0,2,2.308498794325189,2.1774475261418047,2.9941469543302364,3.366205499140733,0.9982698961937716,0.9982698961937716,1.0,0.03042271343397503,0.14354548539909273,0.0,0,0.0,578,0,42
P1,48,P1_K48,1,2,2.2868264128743165,2.1748253211951862,2.965477925316975,3.2585735103800886,0.9981308411214953,0.9981308411214953,1.0,0.028487290852083416,0.14101540081533623,0.0,0,0.0,535,0,43
P1,48,P1_K48,2,2,2.3326165500592175,2.2298371797208816,3.158171932130358,3.3841859039792723,1.0,1.0,1.0,0.03070821182455369,0.11834592351248421,0.0,0,0.0,565,0,44
P1,48,P1_K48,3,2,2.3253817147021927,2.2298371797214145,2.9801119025905507,3.3841859039785263,0.998330550918197,0.998330550918197,0.998330550918197,0.032034850146313604,0.10857298785932434,0.0,0,0.0,599,0,45
P1,48,P1_K48,4,2,2.3799599825586455,2.230895105811612,3.1660984129272904,3.633973579229859,0.9948006932409013,0.9965337954939342,0.9982668977469671,0.03052008843947382,0.12865043539114093,0.0,0,0.0,577,0,46
P1,48,P1_K48,5,2,2.320467382041217,2.2298371797214145,2.980111902591318,3.366205499140637,0.9981718464351006,0.9981718464351006,1.0,0.02873229395825863,0.1258596325886409,0.0,0,0.0,547,0,47
P1,48,P1_K48,6,2,2.3151644896857784,2.1750894008141586,3.162927820608104,3.3841859039789313,0.998165137614679,0.998165137614679,1.0,0.02934768715960312,0.11179452468499214,0.0,0,0.0,545,0,48
P1,48,P1_K48,7,2,2.3506859473533877,2.1946635068059095,3.166098412926992,3.4931354404910735,0.9965156794425087,1.0,1.0,0.03168887002883522,0.12221302136005714,0.0,0,0.0,574,0,49
P1,48,P1_K48,8,2,2.32175099379497,2.1748253211956126,2.980111902591318,3.3841859039793576,0.9965217391304347,0.9965217391304347,0.9982608695652174,0.031248984289838234,0.12527703977254326,0.0,0,0.0,575,0,50
P1,48,P1_K48,9,2,2.3191863380149784,2.229837179720562,2.9654779253178276,3.366205499140733,0.9944852941176471,0.9963235294117647,0.9981617647058824,0.029398652654131153,0.11944259337263848,0.0,0,0.0,544,0,51
P1,48,P1_K48,10,2,2.296760847722688,2.169482619257792,2.980111902591318,3.3778927622858386,0.9983552631578947,0.9983552631578947,1.0,0.0325752845935974,0.14948878245053288,0.0,0,0.0,608,0,52
P1,48,P1_K48,11,2,2.394706403251876,2.2298371797214145,3.3662054991403068,3.642126530905898,0.9931856899488927,0.9982964224872232,1.0,0.03192086473157612,0.12744065376900907,0.0,0,0.0,587,0,53
P1,48,P1_K48,12,2,2.319296523274531,2.229837179720562,3.1660984129268854,3.5046607744938694,1.0,1.0,1.0,0.028822483884033853,0.1106124521506355,0.0,0,0.0,539,0,54
P1,48,P1_K48,13,2,2.3038586599172413,2.1694826192573657,2.98011190259119,3.499318095512365,0.9965156794425087,0.9965156794425087,0.9965156794425087,0.030517947849405574,0.12586124503327628,0.0,0,0.0,574,0,55
P1,48,P1_K48,14,2,2.285301230881291,2.1774475261418047,2.9801119025908918,3.366205499140605,0.9982425307557118,1.0,1.0,0.03086095223434204,0.11718417601508566,0.0,0,0.0,569,0,56
P1,48,P1_K48,15,2,2.297202349854259,2.229837179720562,2.9654779253178276,3.366205499140733,1.0,1.0,1.0,0.029840883034472826,0.127535691651289,0.0,0,0.0,573,0,57
P1,48,P1_K48,16,2,2.3237725874179884,2.1821687654244215,3.026895408387702,3.4907574962515397,0.9946332737030411,0.998211091234347,0.998211091234347,0.02989033915926653,0.12590254233270043,0.0,0,0.0,559,0,58
P1,48,P1_K48,17,2,2.3347879745908813,2.230895105812465,2.9801119025908918,3.4898063185558073,0.9982698961937716,1.0,1.0,0.030615767772409846,0.12071080559743357,0.0,0,0.0,578,0,59
P1,48,P1_K48,18,2,2.3463140942194447,2.1748253211956126,3.1660984129268854,3.6349926981887672,0.9934959349593496,0.9983739837398374,0.9983739837398374,0.03342037821168711,0.13265531980666947,0.0,0,0.0,615,0,60
