Experiment,Policy,Metric,N,Mean,Std,Min,Q1,Median,Q3,Max,IQR,CV
exp1_policy_comparison,P0,Mean RT (min),30,3.1651,0.065,3.0335,3.1412,3.1654,3.2059,3.3188,0.0648,0.0205
exp1_policy_comparison,P0,"P90 Response Time (90th percentile, min)",30,5.3338,0.3457,4.5409,5.0938,5.235,5.6311,5.8924,0.5373,0.0648
exp1_policy_comparison,P0,6-min Coverage (NYC),30,0.9396,0.011,0.9114,0.9352,0.9403,0.9454,0.9619,0.0102,0.0117
exp1_policy_comparison,P0,8-min Coverage (NFPA),30,0.9967,0.0021,0.9911,0.9953,0.9966,0.9982,1.0,0.003,0.0021
exp1_policy_comparison,P0,Mean Utilization,30,0.0757,0.0032,0.0707,0.0739,0.0757,0.0783,0.0828,0.0044,0.0416
exp1_policy_comparison,P1,Mean RT (min),30,2.6186,0.0519,2.5114,2.5912,2.6182,2.641,2.7786,0.0498,0.0198
exp1_policy_comparison,P1,"P90 Response Time (90th percentile, min)",30,3.9882,0.1741,3.6709,3.8994,3.9912,4.0102,4.678,0.1107,0.0437
exp1_policy_comparison,P1,6-min Coverage (NYC),30,0.9801,0.0054,0.9637,0.9777,0.9805,0.9828,0.9879,0.0051,0.0055
exp1_policy_comparison,P1,8-min Coverage (NFPA),30,0.9964,0.0027,0.9893,0.9948,0.9966,0.9983,1.0,0.0034,0.0027
exp1_policy_comparison,P1,Mean Utilization,30,0.0745,0.003,0.0692,0.0725,0.0743,0.0767,0.0811,0.0042,0.0402
exp1_policy_comparison,P2,Mean RT (min),30,2.5666,0.0528,2.4741,2.5353,2.5564,2.5953,2.7262,0.06,0.0206
exp1_policy_comparison,P2,"P90 Response Time (90th percentile, min)",30,3.7517,0.1224,3.5398,3.6493,3.7394,3.8094,4.0356,0.1602,0.0326
exp1_policy_comparison,P2,6-min Coverage (NYC),30,0.9817,0.0054,0.9689,0.9788,0.9828,0.9843,0.9927,0.0055,0.0055
exp1_policy_comparison,P2,8-min Coverage (NFPA),30,0.997,0.0022,0.9929,0.9949,0.9981,0.9983,1.0,0.0034,0.0022
exp1_policy_comparison,P2,Mean Utilization,30,0.0741,0.0031,0.0689,0.0724,0.0739,0.0766,0.0811,0.0042,0.0423
exp2_fleet_sensitivity,P0,Mean RT (min),180,4.4943,2.4883,2.3943,2.8109,3.2191,5.8463,9.9895,3.0354,0.5537
exp2_fleet_sensitivity,P0,"P90 Response Time (90th percentile, min)",180,8.7967,6.8915,3.1477,3.8994,5.0938,13.5352,23.2647,9.6358,0.7834
