experiment,metric,F_statistic,p_value,significant,note
exp1_policy_comparison,mean_queue_length,0.0,1.0,False,No variation in data (all values identical)
exp1_policy_comparison,max_queue_length,0.0,1.0,False,No variation in data (all values identical)
exp1_policy_comparison,queue_fraction,0.0,1.0,False,No variation in data (all values identical)
exp2_fleet_sensitivity,mean_queue_length,0.0,1.0,False,No variation in data (all values identical)
exp2_fleet_sensitivity,max_queue_length,0.0,1.0,False,No variation in data (all values identical)
exp2_fleet_sensitivity,queue_fraction,0.0,1.0,False,No variation in data (all values identical)
exp3_demand_sensitivity,mean_queue_length,0.0,1.0,False,No variation in data (all values identical)
exp3_demand_sensitivity,max_queue_length,0.0,1.0,False,No variation in data (all values identical)
exp3_demand_sensitivity,queue_fraction,0.0,1.0,False,No variation in data (all values identical)
exp4_service_robustness,mean_queue_length,0.0,1.0,False,No variation in data (all values identical)
exp4_service_robustness,max_queue_length,0.0,1.0,False,No variation in data (all values identical)
exp4_service_robustness,queue_fraction,0.0,1.0,False,No variation in data (all values identical)
cbd_experiment,mean_queue_length,0.0,1.0,False,No variation in data (all values identical)
cbd_experiment,max_queue_length,0.0,1.0,False,No variation in data (all values identical)
cbd_experiment,queue_fraction,0.0,1.0,False,No variation in data (all values identical)
