response_time_mean,response_time_mean_ci_lo,response_time_mean_ci_hi,response_time_median,response_time_median_ci_lo,response_time_median_ci_hi,response_time_p90,response_time_p90_ci_lo,response_time_p90_ci_hi,coverage_fraction,coverage_fraction_ci_lo,coverage_fraction_ci_hi,queue_fraction,queue_fraction_ci_lo,queue_fraction_ci_hi,total_incidents,total_incidents_ci_lo,total_incidents_ci_hi,dispatch_delay_mean,dispatch_delay_mean_ci_lo,dispatch_delay_mean_ci_hi,travel_time_mean,travel_time_mean_ci_lo,travel_time_mean_ci_hi,response_time_p95_approx,policy,capacity,K
3.111378777776133,3.093284029895365,3.129473525656901,3.006021494055929,2.9797989226705686,3.0322440654412897,4.053852222742688,4.019329722910101,4.088374722575276,0.9966117782419716,0.9957542612035973,0.9974692952803458,0.0,0.0,0.0,571.5333333333333,559.1188358906549,583.9478307760118,1.5,1.5,1.5,1.6113787777759374,1.593284029895169,1.629473525656706,4.16126849776609,P0_spatial,2,20
2.6167257200182177,2.5900745749366925,2.643376865099743,2.241442045509139,2.2215236366615643,2.2613604543567134,3.989908382562682,3.9157764342174923,4.064040330907872,0.9964905859518339,0.9953252321201235,0.9976559397835444,0.0,0.0,0.0,571.6,559.2315825099536,583.9684174900465,1.5,1.5,1.5,1.1167257200179923,1.090074574936464,1.1433768650995206,4.1614216493974885,P1_demand,2,20
2.5622855425985027,2.5373755769780955,2.58719550821891,2.247100801535602,2.230499321775647,2.263702281295557,3.742695736034256,3.6934310231626366,3.7919604489058756,0.9964901671293682,0.9955827490200873,0.9973975852386492,0.0,0.0,0.0,571.6,559.2315825099536,583.9684174900465,1.5,1.5,1.5,1.0622855425982805,1.0373755769778754,1.0871955082186855,3.8357717831922002,P2_optimised,2,20
3.111378777776133,3.093284029895365,3.129473525656901,3.006021494055929,2.9797989226705686,3.0322440654412897,4.053852222742688,4.019329722910101,4.088374722575276,0.9966117782419716,0.9957542612035973,0.9974692952803458,0.0,0.0,0.0,571.5333333333333,559.1188358906549,583.9478307760118,1.5,1.5,1.5,1.6113787777759374,1.593284029895169,1.629473525656706,4.16126849776609,P0_spatial,5,20
2.6167257200182177,2.5900745749366925,2.643376865099743,2.241442045509139,2.2215236366615643,2.2613604543567134,3.989908382562682,3.9157764342174923,4.064040330907872,0.9964905859518339,0.9953252321201235,0.9976559397835444,0.0,0.0,0.0,571.6,559.2315825099536,583.9684174900465,1.5,1.5,1.5,1.1167257200179923,1.090074574936464,1.1433768650995206,4.1614216493974885,P1_demand,5,20
2.5622855425985027,2.5373755769780955,2.58719550821891,2.247100801535602,2.230499321775647,2.263702281295557,3.742695736034256,3.6934310231626366,3.7919604489058756,0.9964901671293682,0.9955827490200873,0.9973975852386492,0.0,0.0,0.0,571.6,559.2315825099536,583.9684174900465,1.5,1.5,1.5,1.0622855425982805,1.0373755769778754,1.0871955082186855,3.8357717831922002,P2_optimised,5,20
2.442960678245962,2.426124268237636,2.459797088254288,2.30840544712121,2.299466735079241,2.317344159163179,3.2992075217406085,3.253455787058896,3.344959256422321,0.9983751518989616,0.9976967459578422,0.9990535578400811,0.0,0.0,0.0,571.5333333333333,559.1188358906549,583.9478307760118,1.5,1.5,1.5,0.9429606782457546,0.926124268237428,0.9597970882540812,3.3866352502934483,P0_spatial,2,40
2.324231262917728,2.3073603162217466,2.3411022096137097,2.186743687493525,2.1722748810983346,2.2012124938887156,3.0762643851671614,3.02843943843993,3.124089331894393,0.9983753759358829,0.9976969926136378,0.999053759258128,0.0,0.0,0.0,571.6,559.2315825099536,583.9684174900465,1.5,1.5,1.5,0.8242312629175014,0.80736031622152,0.8411022096134827,3.166203834015832,P1_demand,2,40
2.420526654459367,2.398501926881392,2.4425513820373417,2.227918818761438,2.2091237821111527,2.2467138554117234,3.254012356414755,3.1995456383224914,3.3084790745070185,0.9974365914272191,0.9966358933775114,0.9982372894769268,0.0,0.0,0.0,571.6,559.2315825099536,583.9684174900465,1.5,1.5,1.5,0.9205266544591416,0.8985019268811648,0.9425513820371184,3.368717675911324,P2_optimised,2,40
2.442960678245962,2.426124268237636,2.459797088254288,2.30840544712121,2.299466735079241,2.317344159163179,3.2992075217406085,3.253455787058896,3.344959256422321,0.9983751518989616,0.9976967459578422,0.9990535578400811,0.0,0.0,0.0,571.5333333333333,559.1188358906549,583.9478307760118,1.5,1.5,1.5,0.9429606782457546,0.926124268237428,0.9597970882540812,3.3866352502934483,P0_spatial,5,40
2.3445589014933073,2.3266313280120303,2.362486474974584,2.1939521567133156,2.178704639778542,2.2091996736480892,3.1475562270818545,3.104376909061532,3.190735545102177,0.9983753759358829,0.9976969926136378,0.999053759258128,0.0,0.0,0.0,571.6,559.2315825099536,583.9684174900465,1.5,1.5,1.5,0.84455890149308,0.826631328011802,0.862486474974358,3.258435516123814,P1_demand,5,40
2.4926796803460243,2.470039975679192,2.5153193850128566,2.2415597265182186,2.225366037000954,2.257753416035483,3.5246217820156196,3.474237561060148,3.575006002971091,0.9983753759358829,0.9976969926136378,0.999053759258128,0.0,0.0,0.0,571.6,559.2315825099536,583.9684174900465,1.5,1.5,1.5,0.9926796803457968,0.9700399756789668,1.0153193850126268,3.6714949684403457,P2_optimised,5,40
