K,v1_policy,v2_policy,v1_config,v2_config,v1_mean_RT,v2_mean_RT,RT_change,RT_change_pct,v1_coverage_8min,v2_coverage_8min,coverage_change,v1_queue_fraction,v2_queue_fraction,v1_mean_util,v2_mean_util
15,P0,P0,"cap=5, P0-legacy","cap=2, P0",9.476228474242408,3.6841413699990353,-5.792087104243373,-61.12228213985132,0.5766976191725278,0.9914989536572514,0.41480133448472356,0.0,0.0,0.1268189595960624,0.10291674298470874
20,P0,P0,"cap=5, P0-legacy","cap=2, P0",3.1650640636617413,3.1650640636617413,0.0,0.0,0.9966800575744866,0.9966800575744866,0.0,0.0,0.0,0.07570668799498274,0.07570668799498274
25,P0,P0,"cap=5, P0-legacy","cap=2, P0",5.794886194098715,2.8071558243903056,-2.987730369708409,-51.5580508336988,0.7717170473936538,0.9973771250006951,0.22566007760704132,0.0,0.0,0.06676420092378432,0.059896771556783086
30,P0,P0,"cap=5, P0-legacy","cap=2, P0",2.810621272875991,2.810621272875991,0.0,0.0,0.9975505762620038,0.9975505762620038,0.0,0.0,0.0,0.04991724947597133,0.04991724947597133
35,P0,P0,"cap=5, P0-legacy","cap=2, P0",3.2737210642314998,2.5628150530443663,-0.7109060111871335,-21.715534012792183,0.9382041720083479,0.9984233207624578,0.06021914875410983,0.0,0.0,0.04338219938650513,0.04241191157425725
40,P0,P0,"cap=5, P0-legacy","cap=2, P0",2.4452652353373816,2.4452652353373816,0.0,0.0,0.9984233207624578,0.9984233207624578,0.0,0.0,0.0,0.03694349992495715,0.03694349992495715
15,P1,P1,"cap=5, P0-legacy","cap=2, P0",2.943033648281608,2.943033648281608,0.0,0.0,0.9923410370200483,0.9923410370200483,0.0,0.0,0.0,0.10022279288047656,0.10022279288047656
20,P1,P1,"cap=5, P0-legacy","cap=2, P0",2.6185749168880132,2.6185749168880132,0.0,0.0,0.9964460023301556,0.9964460023301556,0.0,0.0,0.0,0.074465387510774,0.074465387510774
25,P1,P1,"cap=5, P0-legacy","cap=2, P0",2.467285838451739,2.467285838451739,0.0,0.0,0.9974350497267668,0.9974350497267668,0.0,0.0,0.0,0.05915996408066105,0.05915996408066105
30,P1,P1,"cap=5, P0-legacy","cap=2, P0",2.389759689677369,2.389759689677369,0.0,0.0,0.9974932230833694,0.9974932230833694,0.0,0.0,0.0,0.049153077154947974,0.049153077154947974
35,P1,P1,"cap=5, P0-legacy","cap=2, P0",2.3425828339261754,2.3425828339261754,0.0,0.0,0.9984829510546462,0.9984829510546462,0.0,0.0,0.0,0.04205471425859718,0.04205471425859718
40,P1,P1,"cap=5, P0-legacy","cap=2, P0",2.328312166597392,2.328312166597392,0.0,0.0,0.9984829510546462,0.9984829510546462,0.0,0.0,0.0,0.03677760241384955,0.03677760241384955
15,P2,P2,"cap=5, P0-legacy","cap=2, P0",2.824523913151475,2.824523913151475,0.0,0.0,0.9909910996928686,0.9909910996928686,0.0,0.0,0.0,0.09958557836665476,0.09958557836665476
20,P2,P2,"cap=5, P0-legacy","cap=2, P0",2.566647249371996,2.566647249371996,0.0,0.0,0.9970218682683274,0.9970218682683274,0.0,0.0,0.0,0.07411758493617579,0.07411758493617579
25,P2,P2,"cap=5, P0-legacy","cap=2, P0",2.496439006064959,2.496439006064959,0.0,0.0,0.9975430584602897,0.9975430584602897,0.0,0.0,0.0,0.059134581471507984,0.059134581471507984
30,P2,P2,"cap=5, P0-legacy","cap=2, P0",2.450925671952226,2.450925671952226,0.0,0.0,0.9974838518291469,0.9974838518291469,0.0,0.0,0.0,0.04913271705223905,0.04913271705223905
35,P2,P2,"cap=5, P0-legacy","cap=2, P0",2.4348607235139696,2.4348607235139696,0.0,0.0,0.9974838518291469,0.9974838518291469,0.0,0.0,0.0,0.04208753909191471,0.04208753909191471
40,P2,P2,"cap=5, P0-legacy","cap=2, P0",2.429172591553963,2.429172591553963,0.0,0.0,0.9974838518291469,0.9974838518291469,0.0,0.0,0.0,0.03681851129103339,0.03681851129103339
