policy,K,scenario_id,replication,capacity,mean_response_time,median_response_time,p90_response_time,p95_response_time,coverage_6min,coverage_8min,coverage_10min,mean_utilization,max_utilization,mean_queue_length,max_queue_length,queue_fraction,total_incidents,incidents_queued,random_seed
P0,10,P0_K10,0,2,4.287796105224405,3.7651920161762575,6.742587601649293,7.883052358928336,0.8477508650519031,0.9532871972318339,0.9757785467128027,0.15737856660311728,0.25845142638003576,0.0,0,0.0,578,0,42
P0,10,P0_K10,1,2,4.366085201874413,3.800670075439996,7.420850538805155,8.618727412528228,0.822429906542056,0.9457943925233645,0.9794392523364486,0.14777474462288798,0.2701492795244692,0.0,0,0.0,535,0,43
P0,10,P0_K10,2,2,4.497727632014507,3.8817110044914216,7.487501122035383,8.969536766576269,0.7876106194690266,0.9327433628318584,0.9716814159292035,0.1595352080406429,0.24923198732562132,0.0,0,0.0,565,0,44
P0,10,P0_K10,3,2,4.314693197826294,3.843397513417699,7.418132493833127,9.109027492070844,0.8414023372287145,0.9332220367278798,0.9732888146911519,0.16558868524983855,0.25566905917327026,0.0,0,0.0,599,0,45
P0,10,P0_K10,4,2,4.467749218899051,3.7128070634871513,7.487501122035383,8.969536766576311,0.8353552859618717,0.9393414211438474,0.9722703639514731,0.15844736091193865,0.24762824126558605,0.0,0,0.0,577,0,46
P0,10,P0_K10,5,2,4.3363772597044035,3.8708647108796868,6.690606026089654,7.654313426019722,0.8354661791590493,0.9597806215722121,0.9853747714808044,0.14885452194291293,0.25029914268574904,0.0,0,0.0,547,0,47
P0,10,P0_K10,6,2,4.1591649892442675,3.610745887692133,6.986481416162021,7.860699627262733,0.8487084870848709,0.9575645756457565,0.985239852398524,0.15008848295417826,0.25369468405994366,0.0,0,0.0,542,0,48
P0,10,P0_K10,7,2,4.564020764983312,3.9231696786711012,7.435110391051475,9.028187664317784,0.7979094076655052,0.9285714285714286,0.9668989547038328,0.16471028829435727,0.26373609287387256,0.0,0,0.0,574,0,49
P0,10,P0_K10,8,2,4.321367551939164,3.624439488614968,7.258791579034159,7.86559473889298,0.8383458646616542,0.9511278195488722,0.9736842105263158,0.1482965795863433,0.24319468630375352,0.0,0,0.0,532,0,50
P0,10,P0_K10,9,2,4.4523073642367645,3.8708647108796868,7.420850538804601,8.293528233208365,0.7996323529411765,0.9448529411764706,0.9761029411764706,0.15262561446864548,0.2737582500067923,0.0,0,0.0,544,0,51
P0,10,P0_K10,10,2,4.140578607256148,3.610745887692133,6.6637445188014786,7.7606338244140805,0.8550247116968699,0.9604612850082372,0.9868204283360791,0.1671911766910442,0.2531157065894107,0.0,0,0.0,607,0,52
P0,10,P0_K10,11,2,4.721215687459348,3.843397513417699,7.802861187993242,9.248757750381293,0.8006814310051107,0.9182282793867121,0.9642248722316865,0.1667585458859216,0.2603172859200859,9.910793799634628e-05,1,0.0017035775127768314,587,1,53
P0,10,P0_K10,12,2,4.323951980141188,3.712807063487844,7.487501122035383,9.021459453362581,0.8200371057513914,0.9332096474953617,0.9795918367346939,0.149067260850219,0.22762660964150636,0.0,0,0.0,539,0,54
P0,10,P0_K10,13,2,4.295048641441036,3.8083507771918335,7.069672217261927,7.86675641734314,0.8362369337979094,0.9512195121951219,0.9773519163763066,0.15782487040526835,0.2680283587808142,0.0,0,0.0,574,0,55
P0,10,P0_K10,14,2,4.350288815338909,3.825942793725048,7.241196249056406,8.334795431484261,0.844551282051282,0.9423076923076923,0.9759615384615384,0.17374933546255195,0.2891714796530269,0.0,0,0.0,624,0,56
P0,10,P0_K10,15,2,4.435743475946064,3.825942793725261,7.420850538804729,8.794056545942182,0.8097731239092496,0.9354275741710296,0.9755671902268761,0.1553928265143844,0.24979803650583549,0.0,0,0.0,573,0,57
P0,10,P0_K10,16,2,4.504982655732633,3.8083507771918335,7.487501122035383,8.999802039280976,0.8014311270125224,0.9355992844364938,0.9660107334525939,0.15556982268856562,0.2816926510761062,0.0,0,0.0,559,0,58
P0,10,P0_K10,17,2,4.587619921543343,3.9231696786711012,7.606034914362283,9.503075107045902,0.8062283737024222,0.9204152249134948,0.9636678200692042,0.15987370976529075,0.2794605734764498,0.0,0,0.0,578,0,59
P0,10,P0_K10,18,2,4.302388571376213,3.80835077719194,6.9385239294273955,8.116075946496991,0.8357723577235773,0.9447154471544715,0.9739837398373984,0.17235219838684632,0.3209200986410341,0.0,0,0.0,615,0,60
P0,10,P0_K10,19,2,4.328888198190334,3.800670075439996,7.418132493833127,8.301411097292126,0.8316151202749141,0.9467353951890034,0.9725085910652921,0.15768271706515388,0.2674124082337743,0.0,0,0.0,582,0,61
P0,10,P0_K10,20,2,4.433804223300876,3.8083507771918335,7.467505947066317,9.004938690204954,0.8202054794520548,0.940068493150685,0.9708904109589042,0.1605220873989868,0.27185394001831925,0.0,0,0.0,584,0,62
P0,10,P0_K10,21,2,4.372575441025544,3.800670075439996,7.420035125313547,8.539568672721417,0.8194945848375451,0.944043321299639,0.9783393501805054,0.15446631553921028,0.2540349640128459,0.0,0,0.0,554,0,63
P0,10,P0_K10,22,2,4.444354776219616,3.8171467854589736,7.420578734307377,8.407319487987598,0.7972027972027972,0.9440559440559441,0.9825174825174825,0.16252825689428962,0.2566396899448074,0.0,0,0.0,572,0,64
P0,10,P0_K10,23,2,4.403085087371125,3.8083507771918335,7.032347890653229,8.619050984131645,0.8293103448275863,0.9413793103448276,0.9724137931034482,0.16611843325386816,0.3063269571245397,0.0,0,0.0,580,0,65
P0,10,P0_K10,24,2,4.40110531783385,3.80835077719194,7.487501122035383,8.969536766576056,0.806070826306914,0.9426644182124789,0.9763912310286678,0.16518271682650945,0.3043457586730804,0.0,0,0.0,593,0,66
P0,10,P0_K10,25,2,4.552611612027585,3.8817110044909953,7.589543791485197,9.167544306881712,0.8141891891891891,0.9307432432432432,0.964527027027027,0.16613050674506916,0.29514420439070016,0.0,0,0.0,592,0,67
P0,10,P0_K10,26,2,4.397892798368809,3.8083507771918335,7.459733502594476,8.951986411903958,0.8186714542190305,0.9389587073608617,0.9694793536804309,0.15576039652772672,0.26047132757483926,0.0,0,0.0,557,0,68
P0,10,P0_K10,27,2,4.273029049768137,3.6131480249315473,7.107822331629735,8.256463599165654,0.836036036036036,0.9495495495495495,0.9837837837837838,0.14935465891712738,0.24903922213964175,0.0,0,0.0,555,0,69
P0,10,P0_K10,28,2,4.451749358161613,3.843397513417486,7.420850538805112,8.93569765993075,0.8096085409252669,0.9323843416370107,0.9768683274021353,0.15506401487658975,0.22622610306884583,0.0,0,0.0,562,0,70
P0,10,P0_K10,29,2,4.443142650156616,3.8171467854587604,7.58912564641821,8.744507091646302,0.7972508591065293,0.929553264604811,0.9725085910652921,0.1589544479649659,0.3001078727976463,0.0,0,0.0,582,0,71
P0,15,P0_K15,0,2,3.6582495527322005,3.3457313549021706,5.568962135704254,6.690606026089654,0.9238754325259516,0.9878892733564014,0.9982698961937716,0.10251244448580508,0.1971558314598626,0.0,0,0.0,578,0,42
P0,15,P0_K15,1,2,3.6497823640778693,3.3440058862390742,5.568962135704254,6.382754562845889,0.930841121495327,0.994392523364486,1.0,0.09598195925771134,0.2110508281843012,0.0,0,0.0,535,0,43
P0,15,P0_K15,2,2,3.7141235232002257,3.3457313549023837,5.866744129250918,6.731522745905494,0.9084507042253521,0.9964788732394366,1.0,0.1039195880949601,0.181893982774365,0.0,0,0.0,568,0,44
P0,15,P0_K15,3,2,3.618062390809123,3.1224892486915223,5.568962135703828,6.382754562845889,0.9332220367278798,0.986644407345576,0.994991652754591,0.10763265621547906,0.18806906492094957,0.0,0,0.0,599,0,45
P0,15,P0_K15,4,2,3.735139357960745,3.3457313549021706,5.5689621357044246,6.731522745905579,0.9150779896013865,0.9844020797227037,0.9965337954939342,0.10283583392964298,0.21561949393234672,0.0,0,0.0,577,0,46
P0,15,P0_K15,5,2,3.578027096721011,3.1000302227351995,5.537138020291792,6.382754562845037,0.9305301645338209,0.9945155393053017,1.0,0.09649284571887375,0.16518431549730317,0.0,0,0.0,547,0,47
P0,15,P0_K15,6,2,3.608414899658097,3.1981435769574773,5.353404114943032,6.0518855212972795,0.9446494464944649,0.9944649446494465,0.996309963099631,0.09808473897635896,0.18114342994692653,0.0,0,0.0,542,0,48
P0,15,P0_K15,7,2,3.7336815670498114,3.3822124675457843,5.56896213570468,6.382754562845889,0.9198606271777003,0.9860627177700348,0.9930313588850174,0.10665464524112024,0.19268299994072413,0.0,0,0.0,574,0,49
P0,15,P0_K15,8,2,3.7281588317645817,3.345731354903023,5.849718199919778,6.690606026089654,0.9135338345864662,0.9906015037593985,0.9943609022556391,0.09677717052361452,0.19115739218019878,0.0,0,0.0,532,0,50
P0,15,P0_K15,9,2,3.5972928473434966,3.2226825979086016,5.424417760586593,6.344565624350764,0.9382940108892922,0.9963702359346642,1.0,0.10056295240998528,0.18221184627618509,0.0,0,0.0,551,0,51
P0,15,P0_K15,10,2,3.647518458835383,3.345731354903023,5.549867666456861,6.382754562845037,0.942339373970346,0.9934102141680395,0.9967051070840197,0.10948136971141434,0.2294121112348309,0.0,0,0.0,607,0,52
P0,15,P0_K15,11,2,3.811567302530143,3.424386560212156,5.979524764800087,6.7315227459050675,0.899488926746167,0.9931856899488927,0.9965928449744463,0.10764741097620457,0.2557985857113587,0.0,0,0.0,587,0,53
P0,15,P0_K15,12,2,3.689304788803898,3.3457313549023837,5.568962135704254,6.382754562845889,0.9257884972170687,0.9944341372912802,1.0,0.09711577419028623,0.19289435854197282,0.0,0,0.0,539,0,54
P0,15,P0_K15,13,2,3.6577892469480675,3.3227551886491824,5.568962135703828,6.382754562845889,0.9337979094076655,0.9947735191637631,0.9947735191637631,0.10279735479108523,0.20527875497688797,0.0,0,0.0,574,0,55
P0,15,P0_K15,14,2,3.57782386042704,3.173604556006353,5.446961812528143,6.241338042797543,0.9420035149384886,0.9912126537785588,0.9982425307557118,0.10361910387087024,0.1825204463221095,0.0,0,0.0,569,0,56
P0,15,P0_K15,15,2,3.6608257615460214,3.1036554668426675,5.869095713037503,6.7315227459050675,0.9057591623036649,0.9930191972076788,1.0,0.10065852554430364,0.19272962096794138,0.0,0,0.0,573,0,57
P0,15,P0_K15,16,2,3.699619657132667,3.380239031112211,5.568962135704254,6.694697698071196,0.9302325581395349,0.9892665474060823,0.9946332737030411,0.10073571567982816,0.20941052721631112,0.0,0,0.0,559,0,58
P0,15,P0_K15,17,2,3.7048883965709685,3.390944808686527,5.568962135704254,6.382754562845889,0.9307958477508651,0.9930795847750865,0.9965397923875432,0.10320801007213812,0.1801919068574564,0.0,0,0.0,578,0,59
P0,15,P0_K15,18,2,3.654831446797422,3.345731354903023,5.537138020292218,6.382754562845889,0.9300813008130081,0.9983739837398374,0.9983739837398374,0.11226755268371795,0.21389714581760297,0.0,0,0.0,615,0,60
