policy,K,scenario_id,replication,capacity,mean_response_time,median_response_time,p90_response_time,p95_response_time,coverage_8min,coverage_10min,mean_utilization,max_utilization,mean_queue_length,max_queue_length,queue_fraction,total_incidents,incidents_queued,random_seed
P0-spatial,48,P0-spatial_K48,0,2,2.362430786792621,2.2397948187359873,3.166203834015704,3.4994446008188618,0.9982698961937716,1.0,0.03048714112008233,0.12553712242647347,0.0,0,0.0,578,0,42
P0-spatial,48,P0-spatial_K48,1,2,2.3808813841631684,2.2393779790519375,3.1662038340161303,3.4426759299571406,0.9981308411214953,1.0,0.028591290954678356,0.11175764750899807,0.0,0,0.0,535,0,43
P0-spatial,48,P0-spatial_K48,2,2,2.3588507310383298,2.2499467463217115,3.114846089243289,3.3841652099135047,1.0,1.0,0.030738846563833588,0.12165397906294202,0.0,0,0.0,565,0,44
P0-spatial,48,P0-spatial_K48,3,2,2.3773559691780095,2.2393779790519375,3.1662038340157252,3.3852174884493427,0.998330550918197,0.998330550918197,0.03209919492647028,0.17863934984022284,0.0,0,0.0,599,0,45
P0-spatial,48,P0-spatial_K48,4,2,2.3694850567220063,2.182203716682949,3.1662038340158105,3.499444600819288,0.9965337954939342,0.9982668977469671,0.030507596640102597,0.13376004994867038,0.0,0,0.0,577,0,46
P0-spatial,48,P0-spatial_K48,5,2,2.3298594825991876,2.2393779790519375,2.999350719767051,3.2585541959193165,0.9981718464351006,1.0,0.028742912094430067,0.12224484141034882,0.0,0,0.0,547,0,47
P0-spatial,48,P0-spatial_K48,6,2,2.342458414350137,2.2185390586118103,3.1662038340158105,3.475594504838888,0.9981684981684982,1.0,0.02941361307287514,0.12396886769142139,0.0,0,0.0,546,0,48
P0-spatial,48,P0-spatial_K48,7,2,2.3524173744429593,2.2299247322195725,3.157943969500156,3.4225944299100775,1.0,1.0,0.03169092409453749,0.12302650960170809,0.0,0,0.0,574,0,49
P0-spatial,48,P0-spatial_K48,8,2,2.3678241640414064,2.2393779790519375,3.033475892634556,3.366420882849468,0.9965217391304347,0.9982608695652174,0.03130373807805681,0.15205178555097398,0.0,0,0.0,575,0,50
P0-spatial,48,P0-spatial_K48,9,2,2.390219893530067,2.2499467463217115,3.166203834015704,3.483040353100364,0.9983361064891847,0.9983361064891847,0.032716606032377436,0.14837365433177008,0.0,0,0.0,601,0,51
P0-spatial,48,P0-spatial_K48,10,2,2.3469052757971607,2.2397948187351346,3.157943969500028,3.4994446008188618,0.9983552631578947,1.0,0.032638296771733306,0.1386942599905052,0.0,0,0.0,608,0,52
