K,policy,mean,ci_lower,ci_upper,margin_of_error
10,P0-spatial,4.4095142616784155,4.35591900621599,4.4631095171408415,0.05359525546242594
10,P1,4.342158774127681,4.2845164044889525,4.399801143766409,0.05764236963872804
10,P2,3.7719822644444467,3.73043939478472,3.8135251341041734,0.041542869659726644
15,P0-spatial,3.697767549817032,3.6712869136622386,3.7242481859718257,0.02648063615479357
15,P1,2.955763414846408,2.9370127531568695,2.9745140765359466,0.01875066168953854
15,P2,2.8350319861803883,2.8148298658309736,2.855234106529803,0.02020212034941471
20,P0-spatial,3.173500336879019,3.151050787429103,3.1959498863289353,0.022449549449916173
20,P1,2.6340456527575755,2.6165598852450525,2.6515314202700986,0.017485767512523065
20,P2,2.5702157283030402,2.5538865824304615,2.586544874175619,0.01632914587257872
25,P0-spatial,2.8163881876177164,2.804941396895083,2.82783497834035,0.011446790722633438
25,P1,2.4730576243159588,2.457504116950465,2.4886111316814525,0.015553507365493768
25,P2,2.4989737371341034,2.4833763116210714,2.5145711626471354,0.015597425513032004
30,P0-spatial,2.8217288223696837,2.8068016702432397,2.8366559744961277,0.014927152126444021
30,P1,2.3916000199737057,2.3782542894423484,2.404945750505063,0.013345730531357347
30,P2,2.44965304742929,2.435282188584648,2.464023906273932,0.014370858844642065
35,P0-spatial,2.5635451672929457,2.5529549788394497,2.5741353557464417,0.010590188453496019
35,P1,2.3413298511120617,2.3308810088901235,2.351778693334,0.010448842221938204
35,P2,2.431287831642954,2.4178686970384713,2.4447069662474363,0.013419134604482519
40,P0-spatial,2.4422341927961537,2.431485830670909,2.4529825549213986,0.010748362125244881
40,P1,2.3286102611165704,2.318652690403163,2.338567831829978,0.009957570713407637
40,P2,2.4256303946515323,2.4122990147189336,2.438961774584131,0.013331379932598697
45,P0-spatial,2.3947879100741933,2.3848739870193145,2.404701833129072,0.009913923054878815
45,P1,2.324522238155076,2.3150816962014407,2.3339627801087115,0.009440541953635417
45,P2,2.419555001815374,2.406390616167491,2.432719387463257,0.013164385647883137
48,P0-spatial,2.372885476540489,2.3635032136295386,2.3822677394514393,0.009382262910950345
48,P1,2.323881588529136,2.314399260059409,2.3333639169988634,0.009482328469727186
48,P2,2.4150875827505667,2.4018618069770894,2.428313358524044,0.013225775773477277
