K,comparison,cohens_d,magnitude
10,P0-spatial vs P1,0.4596286637798975,small
10,P0-spatial vs P2,5.0496727548544875,large
10,P1 vs P2,4.310108951906312,large
15,P0-spatial vs P1,12.28256616602543,large
15,P0-spatial vs P2,13.912383215730044,large
15,P1 vs P2,2.352630070926032,large
20,P0-spatial vs P1,10.182203394871511,large
20,P0-spatial vs P2,11.672375806458238,large
20,P1 vs P2,1.4329638158841367,large
25,P0-spatial vs P1,9.54884195817479,large
25,P0-spatial vs P2,8.811905086896221,large
25,P1 vs P2,-0.631933601312645,medium
30,P0-spatial vs P1,11.53780500893366,large
30,P0-spatial vs P2,9.644685282350267,large
30,P1 vs P2,-1.5898688937789893,large
35,P0-spatial vs P1,8.022533456367842,large
35,P0-spatial vs P2,4.155458661176839,large
35,P1 vs P2,-2.8409263952969956,large
40,P0-spatial vs P1,4.165159033940627,large
40,P0-spatial vs P2,0.5207680189576098,medium
40,P1 vs P2,-3.131662923937837,large
45,P0-spatial vs P1,2.756799904415416,large
45,P0-spatial vs P2,-0.8071953759917948,large
45,P1 vs P2,-3.150858726645765,large
48,P0-spatial vs P1,1.9731045660435647,large
48,P0-spatial vs P2,-1.3978393622896308,large
48,P1 vs P2,-3.0101850667456107,large
