experiment,scenario,policy,K,demand_mult,svc_mean,n_reps,mean_RT,std_RT,mean_coverage_8,mean_p90_RT,mean_utilization,mean_queue_frac
exp1,P0_K20,P0,20,1.0,25.0,30,8.082451489150738,0.26632185817390963,0.6443605964192142,19.474594520117968,0.09059053552779157,0.0
exp1,P1_K20,P1,20,1.0,25.0,30,2.6340456527575755,0.04682774542575579,0.9957747133114377,4.0313856538558985,0.07468800148429097,0.0
exp1,P2_K20,P2,20,1.0,25.0,30,2.5702157283030402,0.04373025578622688,0.996240946299924,3.760052445966623,0.07459668519352398,0.0
exp2,P0_K15,P0,15,1.0,25.0,30,9.570625562296224,0.26548379815196277,0.5752580276249901,22.233468950834784,0.12697841486272002,0.0
exp2,P0_K20,P0,20,1.0,25.0,30,8.082451489150738,0.26632185817390963,0.6443605964192142,19.474594520117968,0.09059053552779157,0.0
exp2,P0_K25,P0,25,1.0,25.0,30,5.789541613289117,0.20756981749412448,0.7709166445101239,13.564446864310243,0.06677692818578067,0.0
exp2,P0_K30,P0,30,1.0,25.0,30,3.9179414224705296,0.13791453059193773,0.902554764117253,7.8971453353363765,0.05162677619886458,0.0
exp2,P0_K35,P0,35,1.0,25.0,30,3.26049089434514,0.09645333825717313,0.9399419012199905,4.606221265499908,0.043381335048058994,0.0
exp2,P0_K40,P0,40,1.0,25.0,30,2.5830085956212963,0.041787270039094535,0.9949503217144487,3.365133478426318,0.037140777169625445,0.0
exp2,P1_K15,P1,15,1.0,25.0,30,2.955763414846408,0.05021519424488102,0.9918258329834053,5.030711675404613,0.10092054135665159,0.0
exp2,P1_K20,P1,20,1.0,25.0,30,2.6340456527575755,0.04682774542575579,0.9957747133114377,4.0313856538558985,0.07468800148429097,0.0
exp2,P1_K25,P1,25,1.0,25.0,30,2.4730576243159588,0.04165305771492843,0.9971118742174521,3.4962332175194932,0.059383467330148515,0.0
exp2,P1_K30,P1,30,1.0,25.0,30,2.3974025266968817,0.03786639184980099,0.9971689518430229,3.2386777712064423,0.04934211454317396,0.0
exp2,P1_K35,P1,35,1.0,25.0,30,2.364837003549419,0.03453843848372377,0.9986076202400553,3.18667259983194,0.04224015336547919,0.0
exp2,P1_K40,P1,40,1.0,25.0,30,2.3488087021290083,0.03210605627018085,0.9986076202400553,3.15866200124307,0.03693721543363557,0.0
exp2,P2_K15,P2,15,1.0,25.0,30,2.8350319861803883,0.05410227192517248,0.9912380209549523,4.49402961144535,0.10046261910668261,0.0
exp2,P2_K20,P2,20,1.0,25.0,30,2.5702157283030402,0.04373025578622688,0.996240946299924,3.760052445966623,0.07459668519352398,0.0
exp2,P2_K25,P2,25,1.0,25.0,30,2.5126894707915906,0.03786383036237929,0.9982016894144333,3.5810712885353793,0.05954604868313889,0.0
exp2,P2_K30,P2,30,1.0,25.0,30,2.5101277878859682,0.03823998430032358,0.9982016894144333,3.5761920744840143,0.04961683782264106,0.0
exp2,P2_K35,P2,35,1.0,25.0,30,2.505314585522593,0.03708569084892472,0.9985525662691327,3.5567577974357736,0.04252087330708947,0.0
exp2,P2_K40,P2,40,1.0,25.0,30,2.5020873473512695,0.03752780422766534,0.9985525662691327,3.553484988823047,0.03720117581151454,0.0
exp3,P0_K20_d0.5,P0,20,0.5,25.0,30,7.79596058038919,0.3545894697769094,0.6616020936166851,19.02912381857033,0.04508982574288489,0.0
