scenario_type,policy,mean_response_time,coverage_8min,cbd_mean_rt,cbd_coverage_8min,non_cbd_mean_rt,non_cbd_coverage_8min,queue_fraction,total_incidents
baseline,P0,8.0825,0.6444,2.73,0.9987,14.7599,0.2026,0.0,576.9
baseline,P1,2.634,0.9958,2.4417,0.9994,2.8803,0.9912,0.0,574.1
baseline,P2,2.5702,0.9962,2.4821,0.9994,2.6828,0.9922,0.0,574.7333
cbd_only,CBD_ONLY,8.3456,0.6349,2.9707,0.9988,15.0511,0.1812,0.0,576.9
cbd_slow_service,P0,8.1462,0.6422,2.7702,0.9986,14.877,0.1963,0.0,576.6
cbd_slow_service,P1,2.6783,0.9946,2.473,0.9987,2.941,0.9893,0.0,573.9667
cbd_slow_service,P2,2.625,0.9956,2.5265,0.9987,2.7506,0.9916,0.0,574.6
cbd_surge,P0,8.352,0.6313,2.9074,0.9946,15.1331,0.1786,0.0,909.6
cbd_surge,P1,2.7498,0.9917,2.5318,0.9979,3.0201,0.984,0.0,907.7667
cbd_surge,P2,2.7259,0.9929,2.6137,0.9976,2.8658,0.9869,0.0,906.8333
mixed,MIXED,8.3456,0.6349,2.9707,0.9988,15.0511,0.1812,0.0,576.9
