Experiment,Policy,Metric,N,Mean,Std,SE,CI_95_lo,CI_95_hi,CI_width
exp1_policy_comparison,P0,Mean RT (min),30,8.0825,0.2663,0.0486,7.983,8.1819,0.1989
exp1_policy_comparison,P0,P90 RT (min),30,19.4746,0.6687,0.1221,19.2249,19.7243,0.4994
exp1_policy_comparison,P0,8-min Coverage,30,0.6444,0.0203,0.0037,0.6368,0.6519,0.0151
exp1_policy_comparison,P0,Mean Utilization,30,0.0906,0.004,0.0007,0.0891,0.0921,0.003
exp1_policy_comparison,P1,Mean RT (min),30,2.634,0.0468,0.0085,2.6166,2.6515,0.035
exp1_policy_comparison,P1,P90 RT (min),30,4.0314,0.1471,0.0269,3.9765,4.0863,0.1098
exp1_policy_comparison,P1,8-min Coverage,30,0.9958,0.0025,0.0005,0.9948,0.9967,0.0019
exp1_policy_comparison,P1,Mean Utilization,30,0.0747,0.0031,0.0006,0.0735,0.0759,0.0023
exp1_policy_comparison,P2,Mean RT (min),30,2.5702,0.0437,0.008,2.5539,2.5865,0.0327
exp1_policy_comparison,P2,P90 RT (min),30,3.7601,0.1148,0.021,3.7172,3.8029,0.0857
exp1_policy_comparison,P2,8-min Coverage,30,0.9962,0.0024,0.0004,0.9954,0.9971,0.0018
exp1_policy_comparison,P2,Mean Utilization,30,0.0746,0.0031,0.0006,0.0735,0.0757,0.0023
exp2_fleet_sensitivity,P0,Mean RT (min),180,5.534,2.5746,0.1919,5.1553,5.9127,0.7574
exp2_fleet_sensitivity,P0,P90 RT (min),180,11.8568,7.231,0.539,10.7933,12.9204,2.1271
exp2_fleet_sensitivity,P0,8-min Coverage,180,0.8047,0.1557,0.0116,0.7818,0.8276,0.0458
exp2_fleet_sensitivity,P0,Mean Utilization,180,0.0694,0.0314,0.0023,0.0648,0.074,0.0092
exp2_fleet_sensitivity,P1,Mean RT (min),180,2.529,0.2177,0.0162,2.497,2.561,0.064
exp2_fleet_sensitivity,P1,P90 RT (min),180,3.6904,0.6825,0.0509,3.59,3.7908,0.2008
exp2_fleet_sensitivity,P1,8-min Coverage,180,0.9965,0.0031,0.0002,0.9961,0.997,0.0009
exp2_fleet_sensitivity,P1,Mean Utilization,180,0.0606,0.022,0.0016,0.0573,0.0638,0.0065
exp2_fleet_sensitivity,P2,Mean RT (min),180,2.5726,0.1269,0.0095,2.5539,2.5912,0.0373
exp2_fleet_sensitivity,P2,P90 RT (min),180,3.7536,0.3758,0.028,3.6983,3.8089,0.1105
exp2_fleet_sensitivity,P2,8-min Coverage,180,0.9968,0.0033,0.0002,0.9963,0.9973,0.001
exp2_fleet_sensitivity,P2,Mean Utilization,180,0.0607,0.0217,0.0016,0.0575,0.0639,0.0064
exp3_demand_sensitivity,P0,Mean RT (min),180,8.2076,0.4186,0.0312,8.1461,8.2692,0.1231
exp3_demand_sensitivity,P0,P90 RT (min),180,19.7213,1.0144,0.0756,19.5721,19.8705,0.2984
exp3_demand_sensitivity,P0,8-min Coverage,180,0.6401,0.0242,0.0018,0.6366,0.6437,0.0071
exp3_demand_sensitivity,P0,Mean Utilization,180,0.1076,0.0471,0.0035,0.1006,0.1145,0.0139
exp3_demand_sensitivity,P1,Mean RT (min),180,2.672,0.1213,0.009,2.6542,2.6898,0.0357
exp3_demand_sensitivity,P1,P90 RT (min),180,4.1895,0.4212,0.0314,4.1275,4.2514,0.1239
exp3_demand_sensitivity,P1,8-min Coverage,180,0.9944,0.0044,0.0003,0.9937,0.995,0.0013
exp3_demand_sensitivity,P1,Mean Utilization,180,0.0886,0.0386,0.0029,0.083,0.0943,0.0114
exp3_demand_sensitivity,P2,Mean RT (min),180,2.6205,0.1409,0.0105,2.5998,2.6413,0.0415
exp3_demand_sensitivity,P2,P90 RT (min),180,3.9465,0.4522,0.0337,3.88,4.013,0.133
exp3_demand_sensitivity,P2,8-min Coverage,180,0.9954,0.0036,0.0003,0.9949,0.9959,0.001
exp3_demand_sensitivity,P2,Mean Utilization,180,0.0885,0.0387,0.0029,0.0828,0.0942,0.0114
exp4_service_robustness,P0,Mean RT (min),90,8.0798,0.2617,0.0276,8.025,8.1346,0.1096
exp4_service_robustness,P0,P90 RT (min),90,19.4427,0.6727,0.0709,19.3018,19.5836,0.2818
exp4_service_robustness,P0,8-min Coverage,90,0.6449,0.019,0.002,0.6409,0.6488,0.0079
exp4_service_robustness,P0,Mean Utilization,90,0.0906,0.0125,0.0013,0.088,0.0932,0.0053
exp4_service_robustness,P1,Mean RT (min),90,2.6343,0.0552,0.0058,2.6228,2.6459,0.0231
exp4_service_robustness,P1,P90 RT (min),90,4.0404,0.1847,0.0195,4.0017,4.079,0.0774
exp4_service_robustness,P1,8-min Coverage,90,0.9957,0.0025,0.0003,0.9951,0.9962,0.0011
exp4_service_robustness,P1,Mean Utilization,90,0.0747,0.0122,0.0013,0.0721,0.0772,0.0051
exp4_service_robustness,P2,Mean RT (min),90,2.5707,0.0597,0.0063,2.5582,2.5832,0.025
exp4_service_robustness,P2,P90 RT (min),90,3.7732,0.1736,0.0183,3.7368,3.8096,0.0727
exp4_service_robustness,P2,8-min Coverage,90,0.9963,0.0024,0.0003,0.9958,0.9968,0.001
exp4_service_robustness,P2,Mean Utilization,90,0.0746,0.0122,0.0013,0.072,0.0772,0.0051
