Experiment,Policy,Metric,N,Mean,Std,Min,Q1,Median,Q3,Max,IQR,CV
exp1_policy_comparison,P0,Mean RT (min),30,8.0825,0.2663,7.4092,7.8904,8.1011,8.226,8.629,0.3356,0.033
exp1_policy_comparison,P0,P90 RT (min),30,19.4746,0.6687,18.0242,18.9472,19.4737,19.9645,21.1549,1.0173,0.0343
exp1_policy_comparison,P0,8-min Coverage,30,0.6444,0.0203,0.5955,0.634,0.6442,0.6619,0.6751,0.0279,0.0315
exp1_policy_comparison,P0,Mean Utilization,30,0.0906,0.004,0.0834,0.0884,0.0899,0.0934,0.0998,0.005,0.0444
exp1_policy_comparison,P1,Mean RT (min),30,2.634,0.0468,2.5585,2.5972,2.638,2.6619,2.7096,0.0647,0.0178
exp1_policy_comparison,P1,P90 RT (min),30,4.0314,0.1471,3.8084,3.9134,3.995,4.0491,4.4212,0.1357,0.0365
exp1_policy_comparison,P1,8-min Coverage,30,0.9958,0.0025,0.9886,0.9945,0.9963,0.9982,1.0,0.0037,0.0025
exp1_policy_comparison,P1,Mean Utilization,30,0.0747,0.0031,0.0691,0.0726,0.0745,0.0773,0.0811,0.0047,0.0417
exp1_policy_comparison,P2,Mean RT (min),30,2.5702,0.0437,2.4628,2.5452,2.5604,2.599,2.6731,0.0538,0.017
exp1_policy_comparison,P2,P90 RT (min),30,3.7601,0.1148,3.5343,3.6541,3.7435,3.8042,3.991,0.1501,0.0305
exp1_policy_comparison,P2,8-min Coverage,30,0.9962,0.0024,0.9886,0.9948,0.9964,0.9982,1.0,0.0034,0.0024
exp1_policy_comparison,P2,Mean Utilization,30,0.0746,0.0031,0.0691,0.0725,0.0742,0.077,0.0811,0.0046,0.0411
exp2_fleet_sensitivity,P0,Mean RT (min),180,5.534,2.5746,2.4888,3.2647,4.7444,8.0981,10.3256,4.8334,0.4652
exp2_fleet_sensitivity,P0,P90 RT (min),180,11.8568,7.231,3.2514,4.6359,10.837,19.4737,23.6981,14.8378,0.6099
exp2_fleet_sensitivity,P0,8-min Coverage,180,0.8047,0.1557,0.5226,0.6445,0.8407,0.9384,1.0,0.294,0.1935
exp2_fleet_sensitivity,P0,Mean Utilization,180,0.0694,0.0314,0.0345,0.0434,0.0594,0.0899,0.1417,0.0465,0.4517
exp2_fleet_sensitivity,P1,Mean RT (min),180,2.529,0.2177,2.2859,2.3676,2.4367,2.6377,3.0609,0.2701,0.0861
exp2_fleet_sensitivity,P1,P90 RT (min),180,3.6904,0.6825,2.9743,3.1662,3.3669,3.9931,5.3513,0.8269,0.1849
exp2_fleet_sensitivity,P1,8-min Coverage,180,0.9965,0.0031,0.9854,0.9948,0.9981,0.9983,1.0,0.0035,0.0031
exp2_fleet_sensitivity,P1,Mean Utilization,180,0.0606,0.022,0.0343,0.0421,0.0543,0.0744,0.1093,0.0323,0.3633
exp2_fleet_sensitivity,P2,Mean RT (min),180,2.5726,0.1269,2.4086,2.4899,2.5259,2.574,3.0111,0.0841,0.0493
exp2_fleet_sensitivity,P2,P90 RT (min),180,3.7536,0.3758,3.3664,3.5012,3.6423,3.7779,5.0963,0.2767,0.1001
exp2_fleet_sensitivity,P2,8-min Coverage,180,0.9968,0.0033,0.9837,0.9964,0.9982,0.9983,1.0,0.0019,0.0033
exp2_fleet_sensitivity,P2,Mean Utilization,180,0.0607,0.0217,0.0345,0.0423,0.0546,0.0742,0.1091,0.0318,0.3585
exp3_demand_sensitivity,P0,Mean RT (min),180,8.2076,0.4186,7.1284,7.957,8.228,8.4838,9.1526,0.5268,0.051
exp3_demand_sensitivity,P0,P90 RT (min),180,19.7213,1.0144,17.4845,19.0531,19.7306,20.3235,23.5254,1.2704,0.0514
exp3_demand_sensitivity,P0,8-min Coverage,180,0.6401,0.0242,0.5809,0.6229,0.6403,0.6525,0.7173,0.0295,0.0379
exp3_demand_sensitivity,P0,Mean Utilization,180,0.1076,0.0471,0.0399,0.0687,0.1035,0.139,0.2003,0.0703,0.4382
exp3_demand_sensitivity,P1,Mean RT (min),180,2.672,0.1213,2.4368,2.5717,2.656,2.7495,2.9898,0.1778,0.0454
exp3_demand_sensitivity,P1,P90 RT (min),180,4.1895,0.4212,3.4196,3.8983,4.0491,4.4706,5.0989,0.5723,0.1005
exp3_demand_sensitivity,P1,8-min Coverage,180,0.9944,0.0044,0.9796,0.9922,0.9948,0.9977,1.0,0.0054,0.0044
exp3_demand_sensitivity,P1,Mean Utilization,180,0.0886,0.0386,0.0332,0.0571,0.0849,0.1153,0.1633,0.0582,0.4355
exp3_demand_sensitivity,P2,Mean RT (min),180,2.6205,0.1409,2.3559,2.5208,2.603,2.6962,2.97,0.1754,0.0538
exp3_demand_sensitivity,P2,P90 RT (min),180,3.9465,0.4522,3.1662,3.6423,3.8396,4.087,5.0142,0.4448,0.1146
exp3_demand_sensitivity,P2,8-min Coverage,180,0.9954,0.0036,0.9843,0.9932,0.9959,0.9978,1.0,0.0046,0.0036
exp3_demand_sensitivity,P2,Mean Utilization,180,0.0885,0.0387,0.033,0.0569,0.0848,0.1152,0.1633,0.0583,0.4367
exp4_service_robustness,P0,Mean RT (min),90,8.0798,0.2617,7.3495,7.9066,8.099,8.2322,8.629,0.3257,0.0324
exp4_service_robustness,P0,P90 RT (min),90,19.4427,0.6727,18.018,18.9099,19.4169,19.967,21.1549,1.057,0.0346
exp4_service_robustness,P0,8-min Coverage,90,0.6449,0.019,0.5955,0.6359,0.6462,0.6605,0.6788,0.0246,0.0294
exp4_service_robustness,P0,Mean Utilization,90,0.0906,0.0125,0.07,0.0786,0.0899,0.1023,0.1157,0.0237,0.1385
exp4_service_robustness,P1,Mean RT (min),90,2.6343,0.0552,2.5194,2.5914,2.6308,2.6748,2.7616,0.0834,0.021
exp4_service_robustness,P1,P90 RT (min),90,4.0404,0.1847,3.665,3.8997,3.994,4.0498,4.5316,0.1502,0.0457
exp4_service_robustness,P1,8-min Coverage,90,0.9957,0.0025,0.987,0.9945,0.9964,0.9982,1.0,0.0037,0.0025
exp4_service_robustness,P1,Mean Utilization,90,0.0747,0.0122,0.0558,0.0625,0.0745,0.0865,0.0968,0.0241,0.1635
exp4_service_robustness,P2,Mean RT (min),90,2.5707,0.0597,2.4372,2.5294,2.561,2.6034,2.7343,0.074,0.0232
exp4_service_robustness,P2,P90 RT (min),90,3.7732,0.1736,3.4374,3.6423,3.7397,3.8931,4.6186,0.2508,0.046
exp4_service_robustness,P2,8-min Coverage,90,0.9963,0.0024,0.987,0.9948,0.9965,0.9983,1.0,0.0035,0.0024
exp4_service_robustness,P2,Mean Utilization,90,0.0746,0.0122,0.0559,0.0623,0.0742,0.0864,0.0969,0.0241,0.1641
