Experiment,Metric,Comparison,Cohens_d,Abs_d,Interpretation,Practical_Significance
exp1_policy_comparison,Mean RT (min),P0 vs P1,28.4948,28.4948,Large,Yes
exp1_policy_comparison,Mean RT (min),P0 vs P2,28.8841,28.8841,Large,Yes
exp1_policy_comparison,Mean RT (min),P1 vs P2,1.4089,1.4089,Large,Yes
exp1_policy_comparison,P90 RT (min),P0 vs P1,31.896,31.896,Large,Yes
exp1_policy_comparison,P90 RT (min),P0 vs P2,32.7532,32.7532,Large,Yes
exp1_policy_comparison,P90 RT (min),P1 vs P2,2.0565,2.0565,Large,Yes
exp1_policy_comparison,8-min Coverage,P0 vs P1,-24.3189,24.3189,Large,Yes
exp1_policy_comparison,8-min Coverage,P0 vs P2,-24.3734,24.3734,Large,Yes
exp1_policy_comparison,8-min Coverage,P1 vs P2,-0.1894,0.1894,Negligible,No
exp1_policy_comparison,Mean Utilization,P0 vs P1,4.4194,4.4194,Large,Yes
exp1_policy_comparison,Mean Utilization,P0 vs P2,4.4728,4.4728,Large,Yes
exp1_policy_comparison,Mean Utilization,P1 vs P2,0.0295,0.0295,Negligible,No
exp2_fleet_sensitivity,Mean RT (min),P0 vs P1,1.6448,1.6448,Large,Yes
exp2_fleet_sensitivity,Mean RT (min),P0 vs P2,1.6247,1.6247,Large,Yes
exp2_fleet_sensitivity,Mean RT (min),P1 vs P2,-0.2447,0.2447,Small,No
exp2_fleet_sensitivity,P90 RT (min),P0 vs P1,1.5901,1.5901,Large,Yes
exp2_fleet_sensitivity,P90 RT (min),P0 vs P2,1.5827,1.5827,Large,Yes
exp2_fleet_sensitivity,P90 RT (min),P1 vs P2,-0.1147,0.1147,Negligible,No
exp2_fleet_sensitivity,8-min Coverage,P0 vs P1,-1.7419,1.7419,Large,Yes
exp2_fleet_sensitivity,8-min Coverage,P0 vs P2,-1.7447,1.7447,Large,Yes
exp2_fleet_sensitivity,8-min Coverage,P1 vs P2,-0.0984,0.0984,Negligible,No
exp2_fleet_sensitivity,Mean Utilization,P0 vs P1,0.326,0.326,Small,No
exp2_fleet_sensitivity,Mean Utilization,P0 vs P2,0.3246,0.3246,Small,No
exp2_fleet_sensitivity,Mean Utilization,P1 vs P2,-0.0033,0.0033,Negligible,No
exp3_demand_sensitivity,Mean RT (min),P0 vs P1,17.9627,17.9627,Large,Yes
exp3_demand_sensitivity,Mean RT (min),P0 vs P2,17.8889,17.8889,Large,Yes
exp3_demand_sensitivity,Mean RT (min),P1 vs P2,0.3916,0.3916,Small,No
exp3_demand_sensitivity,P90 RT (min),P0 vs P1,19.9981,19.9981,Large,Yes
exp3_demand_sensitivity,P90 RT (min),P0 vs P2,20.0864,20.0864,Large,Yes
exp3_demand_sensitivity,P90 RT (min),P1 vs P2,0.556,0.556,Medium,Yes
exp3_demand_sensitivity,8-min Coverage,P0 vs P1,-20.3327,20.3327,Large,Yes
exp3_demand_sensitivity,8-min Coverage,P0 vs P2,-20.5027,20.5027,Large,Yes
exp3_demand_sensitivity,8-min Coverage,P1 vs P2,-0.2554,0.2554,Small,No
exp3_demand_sensitivity,Mean Utilization,P0 vs P1,0.4391,0.4391,Small,No
exp3_demand_sensitivity,Mean Utilization,P0 vs P2,0.4416,0.4416,Small,No
exp3_demand_sensitivity,Mean Utilization,P1 vs P2,0.0031,0.0031,Negligible,No
exp4_service_robustness,Mean RT (min),P0 vs P1,28.7898,28.7898,Large,Yes
exp4_service_robustness,Mean RT (min),P0 vs P2,29.0213,29.0213,Large,Yes
exp4_service_robustness,Mean RT (min),P1 vs P2,1.1065,1.1065,Large,Yes
exp4_service_robustness,P90 RT (min),P0 vs P1,31.2261,31.2261,Large,Yes
exp4_service_robustness,P90 RT (min),P0 vs P2,31.8974,31.8974,Large,Yes
exp4_service_robustness,P90 RT (min),P1 vs P2,1.4907,1.4907,Large,Yes
exp4_service_robustness,8-min Coverage,P0 vs P1,-25.9215,25.9215,Large,Yes
exp4_service_robustness,8-min Coverage,P0 vs P2,-25.9926,25.9926,Large,Yes
exp4_service_robustness,8-min Coverage,P1 vs P2,-0.2454,0.2454,Small,No
exp4_service_robustness,Mean Utilization,P0 vs P1,1.2839,1.2839,Large,Yes
exp4_service_robustness,Mean Utilization,P0 vs P2,1.29,1.29,Large,Yes
exp4_service_robustness,Mean Utilization,P1 vs P2,0.0074,0.0074,Negligible,No
Exp1,Mean RT (min),ANOVA: Policy,,,Large,Yes
Exp1,P90 RT (min),ANOVA: Policy,,,Large,Yes
Exp1,8-min Coverage,ANOVA: Policy,,,Large,Yes
Exp1,Mean Utilization,ANOVA: Policy,,,Large,Yes
Exp2,Mean RT (min),ANOVA: Policy,,,Large,Yes
Exp2,Mean RT (min),ANOVA: K,,,Large,Yes
Exp2,Mean RT (min),ANOVA: Policy × K,,,Large,Yes
Exp2,P90 RT (min),ANOVA: Policy,,,Large,Yes
Exp2,P90 RT (min),ANOVA: K,,,Large,Yes
Exp2,P90 RT (min),ANOVA: Policy × K,,,Large,Yes
Exp2,8-min Coverage,ANOVA: Policy,,,Large,Yes
Exp2,8-min Coverage,ANOVA: K,,,Large,Yes
Exp2,8-min Coverage,ANOVA: Policy × K,,,Large,Yes
Exp2,Mean Utilization,ANOVA: Policy,,,Small,No
Exp2,Mean Utilization,ANOVA: K,,,Large,Yes
Exp2,Mean Utilization,ANOVA: Policy × K,,,Small,No
Exp3,Mean RT (min),ANOVA: Policy,,,Large,Yes
Exp3,Mean RT (min),ANOVA: demand_multiplier,,,Negligible,No
Exp3,Mean RT (min),ANOVA: Policy × demand_multiplier,,,Negligible,No
Exp3,P90 RT (min),ANOVA: Policy,,,Large,Yes
Exp3,P90 RT (min),ANOVA: demand_multiplier,,,Negligible,No
Exp3,P90 RT (min),ANOVA: Policy × demand_multiplier,,,Negligible,No
Exp3,8-min Coverage,ANOVA: Policy,,,Large,Yes
