model,K,status,objective,active_firehouses,units_deployed,solve_time_sec,covered_precincts,total_precincts,pct_precincts,covered_demand_pct
uniform,20,Baseline,18.5461,20,20,0.0,14,25,56.0,73.0
demand_proportional,20,Baseline,2.8696,18,20,0.0,25,25,100.0,100.0
demand_weighted,20,Optimal,2.5442,20,20,0.04,25,25,100.0,100.0
p_median,20,Optimal,2.5442,20,20,0.039,25,25,100.0,100.0
maximal_coverage,20,Optimal,3.4821,7,20,0.006,25,25,100.0,100.0
uniform,30,Baseline,6.9969,30,30,0.0,21,25,84.0,92.0
demand_proportional,30,Baseline,2.5199,21,30,0.0,25,25,100.0,100.0
demand_weighted,30,Optimal,2.4935,23,30,0.037,25,25,100.0,100.0
p_median,30,Optimal,2.4935,30,30,0.04,25,25,100.0,100.0
maximal_coverage,30,Optimal,3.4821,8,30,0.006,25,25,100.0,100.0
uniform,40,Baseline,3.0194,40,40,0.0,25,25,100.0,100.0
demand_proportional,40,Baseline,2.5199,21,40,0.0,25,25,100.0,100.0
demand_weighted,40,Optimal,2.4935,24,40,0.037,25,25,100.0,100.0
p_median,40,Optimal,2.4935,40,40,0.035,25,25,100.0,100.0
maximal_coverage,40,Optimal,3.4821,10,40,0.005,25,25,100.0,100.0
uniform,48,Baseline,2.4935,48,48,0.0,25,25,100.0,100.0
demand_proportional,48,Baseline,2.5199,21,48,0.0,25,25,100.0,100.0
demand_weighted,48,Optimal,2.4935,26,48,0.035,25,25,100.0,100.0
p_median,48,Optimal,2.4935,48,48,0.021,25,25,100.0,100.0
maximal_coverage,48,Optimal,3.4821,11,48,0.006,25,25,100.0,100.0
