Experiment,Metric,Policy_A,Policy_B,Mean_A,Mean_B,Mean_Diff,CI_95_lo,CI_95_hi,t_stat,p_raw,p_bonferroni,p_tukey,Cohens_d,Effect_Size,Significance
exp1_policy_comparison,Mean RT (min),P0,P1,8.0825,2.634,5.4484,5.3474,5.5494,110.36,0.0,0.0,0.0,28.4948,Large,***
exp1_policy_comparison,Mean RT (min),P0,P2,8.0825,2.5702,5.5122,5.4115,5.613,111.868,0.0,0.0,0.0,28.8841,Large,***
exp1_policy_comparison,Mean RT (min),P1,P2,2.634,2.5702,0.0638,0.0399,0.0878,5.457,1e-06,3e-06,0.2671,1.4089,Large,***
exp1_policy_comparison,P90 RT (min),P0,P1,19.4746,4.0314,15.4432,15.1875,15.6989,123.533,0.0,0.0,0.0,31.896,Large,***
exp1_policy_comparison,P90 RT (min),P0,P2,19.4746,3.7601,15.7145,15.4612,15.9679,126.852,0.0,0.0,0.0,32.7532,Large,***
exp1_policy_comparison,P90 RT (min),P1,P2,4.0314,3.7601,0.2713,0.2017,0.341,7.965,0.0,0.0,0.0276,2.0565,Large,***
exp1_policy_comparison,8-min Coverage,P0,P1,0.6444,0.9958,-0.3514,-0.359,-0.3438,-94.187,0.0,0.0,0.0,-24.3189,Large,***
exp1_policy_comparison,8-min Coverage,P0,P2,0.6444,0.9962,-0.3519,-0.3595,-0.3443,-94.398,0.0,0.0,0.0,-24.3734,Large,***
exp1_policy_comparison,8-min Coverage,P1,P2,0.9958,0.9962,-0.0005,-0.0018,0.0008,-0.733,0.466231,1.0,0.9873,-0.1894,Negligible,ns
exp1_policy_comparison,Mean Utilization,P0,P1,0.0906,0.0747,0.0159,0.014,0.0178,17.116,0.0,0.0,0.0,4.4194,Large,***
exp1_policy_comparison,Mean Utilization,P0,P2,0.0906,0.0746,0.016,0.0141,0.0179,17.323,0.0,0.0,0.0,4.4728,Large,***
exp1_policy_comparison,Mean Utilization,P1,P2,0.0747,0.0746,0.0001,-0.0015,0.0017,0.114,0.909303,1.0,0.9942,0.0295,Negligible,ns
exp2_fleet_sensitivity,Mean RT (min),P0,P1,5.534,2.529,3.005,2.625,3.3851,15.604,0.0,0.0,0.0,1.6448,Large,***
exp2_fleet_sensitivity,Mean RT (min),P0,P2,5.534,2.5726,2.9614,2.5823,3.3406,15.414,0.0,0.0,0.0,1.6247,Large,***
exp2_fleet_sensitivity,Mean RT (min),P1,P2,2.529,2.5726,-0.0436,-0.0807,-0.0065,-2.321,0.020845,0.062535,0.9586,-0.2447,Small,ns
exp2_fleet_sensitivity,P90 RT (min),P0,P1,11.8568,3.6904,8.1664,7.0982,9.2347,15.085,0.0,0.0,0.0,1.5901,Large,***
exp2_fleet_sensitivity,P90 RT (min),P0,P2,11.8568,3.7536,8.1032,7.0383,9.1682,15.015,0.0,0.0,0.0,1.5827,Large,***
exp2_fleet_sensitivity,P90 RT (min),P1,P2,3.6904,3.7536,-0.0632,-0.1778,0.0514,-1.088,0.27712,0.83136,0.9888,-0.1147,Negligible,ns
exp2_fleet_sensitivity,8-min Coverage,P0,P1,0.8047,0.9965,-0.1919,-0.2148,-0.1689,-16.525,0.0,0.0,0.0,-1.7419,Large,***
exp2_fleet_sensitivity,8-min Coverage,P0,P2,0.8047,0.9968,-0.1922,-0.2151,-0.1693,-16.551,0.0,0.0,0.0,-1.7447,Large,***
exp2_fleet_sensitivity,8-min Coverage,P1,P2,0.9965,0.9968,-0.0003,-0.001,0.0004,-0.933,0.351334,1.0,0.9994,-0.0984,Negligible,ns
exp2_fleet_sensitivity,Mean Utilization,P0,P1,0.0694,0.0606,0.0088,0.0032,0.0145,3.092,0.002141,0.006422,0.003,0.326,Small,**
exp2_fleet_sensitivity,Mean Utilization,P0,P2,0.0694,0.0607,0.0088,0.0031,0.0144,3.079,0.002235,0.006704,0.0033,0.3246,Small,**
exp2_fleet_sensitivity,Mean Utilization,P1,P2,0.0606,0.0607,-0.0001,-0.0046,0.0045,-0.031,0.975068,1.0,0.9996,-0.0033,Negligible,ns
exp3_demand_sensitivity,Mean RT (min),P0,P1,8.2076,2.672,5.5356,5.4715,5.5997,170.409,0.0,0.0,0.0,17.9627,Large,***
exp3_demand_sensitivity,Mean RT (min),P0,P2,8.2076,2.6205,5.5871,5.5221,5.6521,169.709,0.0,0.0,0.0,17.8889,Large,***
exp3_demand_sensitivity,Mean RT (min),P1,P2,2.672,2.6205,0.0515,0.0241,0.0788,3.715,0.000236,0.000708,0.1556,0.3916,Small,***
exp3_demand_sensitivity,P90 RT (min),P0,P1,19.7213,4.1895,15.5319,15.3703,15.6934,189.719,0.0,0.0,0.0,19.9981,Large,***
exp3_demand_sensitivity,P90 RT (min),P0,P2,19.7213,3.9465,15.7748,15.6115,15.9382,190.556,0.0,0.0,0.0,20.0864,Large,***
exp3_demand_sensitivity,P90 RT (min),P1,P2,4.1895,3.9465,0.243,0.1521,0.3339,5.275,0.0,1e-06,0.0024,0.556,Medium,***
exp3_demand_sensitivity,8-min Coverage,P0,P1,0.6401,0.9944,-0.3543,-0.3579,-0.3506,-192.893,0.0,0.0,0.0,-20.3327,Large,***
exp3_demand_sensitivity,8-min Coverage,P0,P2,0.6401,0.9954,-0.3553,-0.3589,-0.3517,-194.506,0.0,0.0,0.0,-20.5027,Large,***
exp3_demand_sensitivity,8-min Coverage,P1,P2,0.9944,0.9954,-0.001,-0.0019,-0.0002,-2.423,0.015901,0.047704,0.7792,-0.2554,Small,*
exp3_demand_sensitivity,Mean Utilization,P0,P1,0.1076,0.0886,0.0189,0.01,0.0279,4.166,3.9e-05,0.000117,0.0001,0.4391,Small,***
exp3_demand_sensitivity,Mean Utilization,P0,P2,0.1076,0.0885,0.019,0.0101,0.028,4.19,3.5e-05,0.000106,0.0001,0.4416,Small,***
exp3_demand_sensitivity,Mean Utilization,P1,P2,0.0886,0.0885,0.0001,-0.0079,0.0082,0.029,0.976719,1.0,0.9996,0.0031,Negligible,ns
exp4_service_robustness,Mean RT (min),P0,P1,8.0798,2.6343,5.4455,5.3895,5.5015,193.128,0.0,0.0,0.0,28.7898,Large,***
exp4_service_robustness,Mean RT (min),P0,P2,8.0798,2.5707,5.5091,5.4529,5.5653,194.681,0.0,0.0,0.0,29.0213,Large,***
exp4_service_robustness,Mean RT (min),P1,P2,2.6343,2.5707,0.0636,0.0466,0.0806,7.423,0.0,0.0,0.0203,1.1065,Large,***
exp4_service_robustness,P90 RT (min),P0,P1,19.4427,4.0404,15.4023,15.2562,15.5484,209.471,0.0,0.0,0.0,31.2261,Large,***
exp4_service_robustness,P90 RT (min),P0,P2,19.4427,3.7732,15.6695,15.524,15.815,213.975,0.0,0.0,0.0,31.8974,Large,***
exp4_service_robustness,P90 RT (min),P1,P2,4.0404,3.7732,0.2672,0.2141,0.3203,10.0,0.0,0.0,0.0001,1.4907,Large,***
exp4_service_robustness,8-min Coverage,P0,P1,0.6449,0.9957,-0.3508,-0.3548,-0.3468,-173.887,0.0,0.0,0.0,-25.9215,Large,***
exp4_service_robustness,8-min Coverage,P0,P2,0.6449,0.9963,-0.3514,-0.3554,-0.3474,-174.363,0.0,0.0,0.0,-25.9926,Large,***
exp4_service_robustness,8-min Coverage,P1,P2,0.9957,0.9963,-0.0006,-0.0013,0.0001,-1.646,0.101506,0.304517,0.9302,-0.2454,Small,ns
exp4_service_robustness,Mean Utilization,P0,P1,0.0906,0.0747,0.0159,0.0122,0.0196,8.613,0.0,0.0,0.0,1.2839,Large,***
exp4_service_robustness,Mean Utilization,P0,P2,0.0906,0.0746,0.016,0.0123,0.0197,8.654,0.0,0.0,0.0,1.29,Large,***
exp4_service_robustness,Mean Utilization,P1,P2,0.0747,0.0746,0.0001,-0.0035,0.0037,0.05,0.960378,1.0,0.9987,0.0074,Negligible,ns
