policy_clean,K,mean_queue_length,max_queue_length,queue_fraction,total_incidents,queue_pct
P0,10,1.6430999666740002e-05,1,1,17235,0.005802146794313896
P0,15,0.0,0,0,17144,0.0
P0,20,0.0,0,0,17233,0.0
P0,25,0.0,0,0,17164,0.0
P0,30,0.0,0,0,17166,0.0
P0,35,0.0,0,0,17165,0.0
P0,40,0.0,0,0,17222,0.0
P0,45,0.0,0,0,17223,0.0
P0,48,0.0,0,0,17223,0.0
P1,10,1.5404278637836667e-05,1,1,17201,0.005813615487471659
P1,15,0.0,0,0,17241,0.0
P1,20,0.0,0,0,17223,0.0
P1,25,0.0,0,0,17223,0.0
P1,30,0.0,0,0,17223,0.0
P1,35,0.0,0,0,17223,0.0
P1,40,0.0,0,0,17223,0.0
P1,45,0.0,0,0,17223,0.0
P1,48,0.0,0,0,17223,0.0
P2,10,1.9878866493386667e-05,1,3,17280,0.017361111111111112
P2,15,0.0,0,0,17241,0.0
P2,20,0.0,0,0,17242,0.0
P2,25,0.0,0,0,17242,0.0
P2,30,0.0,0,0,17242,0.0
P2,35,0.0,0,0,17242,0.0
P2,40,0.0,0,0,17242,0.0
P2,45,0.0,0,0,17242,0.0
P2,48,0.0,0,0,17242,0.0
