Experiment,Policy,Factor,Level,Metric,Mean,Std,CI_95_lo,CI_95_hi
exp2_fleet_sensitivity,P0,K,15.0,Mean RT (min),9.5706,0.2655,9.4756,9.6656
exp2_fleet_sensitivity,P0,K,15.0,P90 RT (min),22.2335,1.1426,21.8246,22.6423
exp2_fleet_sensitivity,P0,K,15.0,8-min Coverage,0.5753,0.0187,0.5686,0.582
exp2_fleet_sensitivity,P0,K,15.0,Mean Utilization,0.127,0.0056,0.125,0.129
exp2_fleet_sensitivity,P0,K,20.0,Mean RT (min),8.0825,0.2663,7.9871,8.1778
exp2_fleet_sensitivity,P0,K,20.0,P90 RT (min),19.4746,0.6687,19.2353,19.7139
exp2_fleet_sensitivity,P0,K,20.0,8-min Coverage,0.6444,0.0203,0.6371,0.6516
exp2_fleet_sensitivity,P0,K,20.0,Mean Utilization,0.0906,0.004,0.0892,0.092
exp2_fleet_sensitivity,P0,K,25.0,Mean RT (min),5.7895,0.2076,5.7153,5.8638
exp2_fleet_sensitivity,P0,K,25.0,P90 RT (min),13.5644,0.813,13.2735,13.8554
exp2_fleet_sensitivity,P0,K,25.0,8-min Coverage,0.7709,0.0146,0.7657,0.7761
exp2_fleet_sensitivity,P0,K,25.0,Mean Utilization,0.0668,0.0026,0.0659,0.0677
exp2_fleet_sensitivity,P0,K,30.0,Mean RT (min),3.9179,0.1379,3.8686,3.9673
exp2_fleet_sensitivity,P0,K,30.0,P90 RT (min),7.8971,0.6399,7.6682,8.1261
exp2_fleet_sensitivity,P0,K,30.0,8-min Coverage,0.9026,0.0109,0.8986,0.9065
exp2_fleet_sensitivity,P0,K,30.0,Mean Utilization,0.0516,0.0022,0.0508,0.0524
exp2_fleet_sensitivity,P0,K,35.0,Mean RT (min),3.2605,0.0965,3.226,3.295
exp2_fleet_sensitivity,P0,K,35.0,P90 RT (min),4.6062,0.5254,4.4182,4.7942
exp2_fleet_sensitivity,P0,K,35.0,8-min Coverage,0.9399,0.0095,0.9365,0.9434
exp2_fleet_sensitivity,P0,K,35.0,Mean Utilization,0.0434,0.0018,0.0427,0.044
exp2_fleet_sensitivity,P0,K,40.0,Mean RT (min),2.583,0.0418,2.5681,2.598
exp2_fleet_sensitivity,P0,K,40.0,P90 RT (min),3.3651,0.0484,3.3478,3.3824
exp2_fleet_sensitivity,P0,K,40.0,8-min Coverage,0.995,0.0035,0.9937,0.9962
exp2_fleet_sensitivity,P0,K,40.0,Mean Utilization,0.0371,0.0015,0.0366,0.0377
exp2_fleet_sensitivity,P1,K,15.0,Mean RT (min),2.9558,0.0502,2.9378,2.9737
exp2_fleet_sensitivity,P1,K,15.0,P90 RT (min),5.0307,0.1534,4.9758,5.0856
