Metric,A,B,Δ Mean,CI Lo,CI Hi,p (Bonf.),Cohen's d,Sig.
Mean RT (min),P0,P1,5.4484,5.3474,5.5494,0.0,28.4948,***
Mean RT (min),P0,P2,5.5122,5.4115,5.613,0.0,28.8841,***
Mean RT (min),P1,P2,0.0638,0.0399,0.0878,3e-06,1.4089,***
P90 RT (min),P0,P1,15.4432,15.1875,15.6989,0.0,31.896,***
P90 RT (min),P0,P2,15.7145,15.4612,15.9679,0.0,32.7532,***
P90 RT (min),P1,P2,0.2713,0.2017,0.341,0.0,2.0565,***
8-min Coverage,P0,P1,-0.3514,-0.359,-0.3438,0.0,-24.3189,***
8-min Coverage,P0,P2,-0.3519,-0.3595,-0.3443,0.0,-24.3734,***
8-min Coverage,P1,P2,-0.0005,-0.0018,0.0008,1.0,-0.1894,ns
Mean Utilization,P0,P1,0.0159,0.014,0.0178,0.0,4.4194,***
Mean Utilization,P0,P2,0.016,0.0141,0.0179,0.0,4.4728,***
Mean Utilization,P1,P2,0.0001,-0.0015,0.0017,1.0,0.0295,ns
